start_date,Time,temperature,wind,precipi_
2018-12-01,5:56 PM,50 F,5 mph,0.0 in
2018-12-01,6:56 PM,50 F,8 mph,0.0 in
2018-12-01,7:56 PM,54 F,7 mph,0.0 in
2018-12-01,8:56 PM,53 F,10 mph,0.0 in
2018-12-01,9:56 PM,55 F,17 mph,0.0 in
2018-12-01,10:56 PM,55 F,25 mph,0.0 in
2018-12-01,11:56 PM,55 F,18 mph,0.0 in
2018-12-01,12:56 AM,56 F,22 mph,0.0 in
2018-12-01,1:56 AM,55 F,22 mph,0.0 in
2018-12-01,2:56 AM,50 F,14 mph,0.0 in
2018-12-01,3:56 AM,56 F,13 mph,0.0 in
2018-12-01,4:56 AM,56 F,17 mph,0.0 in
2018-12-01,5:56 AM,58 F,21 mph,0.0 in
2018-12-01,6:56 AM,55 F,23 mph,0.0 in
2018-12-01,7:56 AM,56 F,20 mph,0.0 in
2018-12-01,8:56 AM,56 F,15 mph,0.0 in
2018-12-01,9:56 AM,54 F,12 mph,0.0 in
2018-12-01,10:56 AM,52 F,15 mph,0.0 in
2018-12-01,11:56 AM,53 F,10 mph,0.0 in
2018-12-01,12:56 PM,53 F,14 mph,0.0 in
2018-12-01,1:56 PM,53 F,17 mph,0.0 in
2018-12-01,2:56 PM,51 F,12 mph,0.0 in
2018-12-01,3:56 PM,50 F,13 mph,0.0 in
2018-12-01,4:56 PM,50 F,15 mph,0.0 in
2018-12-02,5:56 PM,49 F,12 mph,0.0 in
2018-12-02,6:56 PM,48 F,10 mph,0.0 in
2018-12-02,7:56 PM,47 F,10 mph,0.0 in
2018-12-02,8:56 PM,47 F,3 mph,0.0 in
2018-12-02,9:56 PM,44 F,6 mph,0.0 in
2018-12-02,10:56 PM,44 F,3 mph,0.0 in
2018-12-02,11:56 PM,44 F,0 mph,0.0 in
2018-12-02,12:56 AM,46 F,3 mph,0.0 in
2018-12-02,1:56 AM,50 F,3 mph,0.0 in
2018-12-02,2:56 AM,50 F,8 mph,0.0 in
2018-12-02,3:56 AM,51 F,5 mph,0.0 in
2018-12-02,4:56 AM,53 F,5 mph,0.0 in
2018-12-02,5:56 AM,53 F,0 mph,0.0 in
2018-12-02,6:56 AM,53 F,0 mph,0.0 in
2018-12-02,7:56 AM,54 F,0 mph,0.0 in
2018-12-02,8:56 AM,54 F,0 mph,0.0 in
2018-12-02,9:56 AM,52 F,3 mph,0.0 in
2018-12-02,10:56 AM,53 F,3 mph,0.0 in
2018-12-02,11:56 AM,52 F,9 mph,0.0 in
2018-12-02,12:56 PM,52 F,5 mph,0.0 in
2018-12-02,1:56 PM,50 F,5 mph,0.0 in
2018-12-02,2:56 PM,51 F,5 mph,0.0 in
2018-12-02,3:56 PM,50 F,5 mph,0.0 in
2018-12-02,4:56 PM,48 F,3 mph,0.0 in
2018-12-03,5:56 PM,49 F,3 mph,0.0 in
2018-12-03,6:56 PM,49 F,0 mph,0.0 in
2018-12-03,7:56 PM,49 F,6 mph,0.0 in
2018-12-03,8:56 PM,47 F,5 mph,0.0 in
2018-12-03,9:56 PM,50 F,6 mph,0.0 in
2018-12-03,10:56 PM,48 F,3 mph,0.0 in
2018-12-03,11:56 PM,47 F,5 mph,0.0 in
2018-12-03,12:56 AM,49 F,0 mph,0.0 in
2018-12-03,1:56 AM,50 F,6 mph,0.0 in
2018-12-03,2:56 AM,51 F,5 mph,0.0 in
2018-12-03,3:56 AM,53 F,5 mph,0.0 in
2018-12-03,4:56 AM,54 F,5 mph,0.0 in
2018-12-03,5:56 AM,55 F,5 mph,0.0 in
2018-12-03,6:56 AM,55 F,3 mph,0.0 in
2018-12-03,7:56 AM,55 F,0 mph,0.0 in
2018-12-03,8:56 AM,55 F,17 mph,0.0 in
2018-12-03,9:56 AM,53 F,20 mph,0.0 in
2018-12-03,10:56 AM,53 F,20 mph,0.0 in
2018-12-03,11:56 AM,54 F,16 mph,0.0 in
2018-12-03,12:56 PM,54 F,13 mph,0.0 in
2018-12-03,1:56 PM,54 F,10 mph,0.0 in
2018-12-03,2:56 PM,54 F,18 mph,0.0 in
2018-12-03,3:56 PM,53 F,20 mph,0.0 in
2018-12-03,4:56 PM,53 F,20 mph,0.0 in
2018-12-04,5:56 PM,52 F,18 mph,0.0 in
2018-12-04,6:56 PM,52 F,17 mph,0.0 in
2018-12-04,7:56 PM,50 F,13 mph,0.0 in
2018-12-04,8:56 PM,50 F,8 mph,0.0 in
2018-12-04,9:56 PM,50 F,12 mph,0.0 in
2018-12-04,10:56 PM,50 F,16 mph,0.0 in
2018-12-04,11:56 PM,50 F,10 mph,0.0 in
2018-12-04,12:56 AM,52 F,12 mph,0.0 in
2018-12-04,1:56 AM,50 F,9 mph,0.0 in
2018-12-04,2:56 AM,51 F,3 mph,0.0 in
2018-12-04,3:56 AM,51 F,7 mph,0.0 in
2018-12-04,4:56 AM,52 F,3 mph,0.0 in
2018-12-04,5:56 AM,53 F,6 mph,0.0 in
2018-12-04,6:56 AM,54 F,6 mph,0.0 in
2018-12-04,7:56 AM,52 F,12 mph,0.0 in
2018-12-04,8:56 AM,54 F,7 mph,0.0 in
2018-12-04,9:56 AM,53 F,6 mph,0.0 in
2018-12-04,10:56 AM,50 F,5 mph,0.0 in
2018-12-04,11:56 AM,50 F,0 mph,0.0 in
2018-12-04,12:56 PM,50 F,7 mph,0.0 in
2018-12-04,1:56 PM,52 F,3 mph,0.0 in
2018-12-04,2:56 PM,51 F,3 mph,0.0 in
2018-12-04,3:56 PM,53 F,8 mph,0.0 in
2018-12-04,4:56 PM,52 F,13 mph,0.1 in
2018-12-05,5:56 PM,50 F,17 mph,0.2 in
2018-12-05,6:56 PM,50 F,18 mph,0.0 in
2018-12-05,7:56 PM,52 F,13 mph,0.0 in
2018-12-05,8:56 PM,53 F,13 mph,0.0 in
2018-12-05,9:56 PM,50 F,6 mph,0.0 in
2018-12-05,10:56 PM,52 F,9 mph,0.0 in
2018-12-05,11:56 PM,53 F,12 mph,0.0 in
2018-12-05,12:56 AM,50 F,8 mph,0.0 in
2018-12-05,1:56 AM,52 F,12 mph,0.0 in
2018-12-05,2:56 AM,51 F,10 mph,0.0 in
2018-12-05,3:56 AM,51 F,12 mph,0.0 in
2018-12-05,4:56 AM,52 F,10 mph,0.0 in
2018-12-05,5:56 AM,53 F,8 mph,0.0 in
2018-12-05,6:56 AM,54 F,0 mph,0.0 in
2018-12-05,7:56 AM,55 F,3 mph,0.0 in
2018-12-05,8:56 AM,55 F,9 mph,0.0 in
2018-12-05,9:56 AM,54 F,15 mph,0.0 in
2018-12-05,10:56 AM,52 F,14 mph,0.0 in
2018-12-05,11:56 AM,52 F,14 mph,0.0 in
2018-12-05,12:56 PM,52 F,13 mph,0.0 in
2018-12-05,1:56 PM,52 F,7 mph,0.0 in
2018-12-05,2:56 PM,52 F,10 mph,0.0 in
2018-12-05,3:56 PM,52 F,7 mph,0.0 in
2018-12-05,4:56 PM,53 F,8 mph,0.0 in
2018-12-06,5:56 PM,54 F,9 mph,0.0 in
2018-12-06,6:56 PM,50 F,3 mph,0.0 in
2018-12-06,7:56 PM,50 F,6 mph,0.0 in
2018-12-06,8:56 PM,50 F,6 mph,0.0 in
2018-12-06,9:56 PM,50 F,3 mph,0.0 in
2018-12-06,10:56 PM,50 F,0 mph,0.0 in
2018-12-06,11:56 PM,53 F,12 mph,0.0 in
2018-12-06,12:56 AM,52 F,13 mph,0.0 in
2018-12-06,1:56 AM,55 F,8 mph,0.0 in
2018-12-06,2:56 AM,55 F,9 mph,0.0 in
2018-12-06,3:56 AM,56 F,6 mph,0.0 in
2018-12-06,4:56 AM,59 F,0 mph,0.0 in
2018-12-06,5:56 AM,57 F,0 mph,0.0 in
2018-12-06,6:56 AM,59 F,0 mph,0.0 in
2018-12-06,7:56 AM,60 F,6 mph,0.0 in
2018-12-06,8:56 AM,59 F,8 mph,0.0 in
2018-12-06,9:56 AM,56 F,6 mph,0.0 in
2018-12-06,10:56 AM,56 F,7 mph,0.0 in
2018-12-06,11:56 AM,56 F,0 mph,0.0 in
2018-12-06,12:56 PM,53 F,5 mph,0.0 in
2018-12-06,1:56 PM,53 F,0 mph,0.0 in
2018-12-06,2:56 PM,51 F,0 mph,0.0 in
2018-12-06,3:56 PM,53 F,0 mph,0.0 in
2018-12-06,4:56 PM,50 F,6 mph,0.0 in
2018-12-07,5:56 PM,50 F,3 mph,0.0 in
2018-12-07,6:56 PM,47 F,6 mph,0.0 in
2018-12-07,7:56 PM,47 F,0 mph,0.0 in
2018-12-07,8:56 PM,47 F,0 mph,0.0 in
2018-12-07,9:56 PM,48 F,0 mph,0.0 in
2018-12-07,10:56 PM,46 F,3 mph,0.0 in
2018-12-07,11:56 PM,47 F,0 mph,0.0 in
2018-12-07,12:56 AM,47 F,3 mph,0.0 in
2018-12-07,1:56 AM,50 F,3 mph,0.0 in
2018-12-07,2:56 AM,52 F,0 mph,0.0 in
2018-12-07,3:56 AM,54 F,6 mph,0.0 in
2018-12-07,4:56 AM,56 F,6 mph,0.0 in
2018-12-07,5:56 AM,56 F,0 mph,0.0 in
2018-12-07,6:56 AM,56 F,3 mph,0.0 in
2018-12-07,7:56 AM,58 F,3 mph,0.0 in
2018-12-07,8:56 AM,60 F,5 mph,0.0 in
2018-12-07,9:56 AM,56 F,8 mph,0.0 in
2018-12-07,10:56 AM,55 F,7 mph,0.0 in
2018-12-07,11:56 AM,55 F,5 mph,0.0 in
2018-12-07,12:56 PM,53 F,0 mph,0.0 in
2018-12-07,1:56 PM,52 F,8 mph,0.0 in
2018-12-07,2:56 PM,53 F,6 mph,0.0 in
2018-12-07,3:56 PM,50 F,0 mph,0.0 in
2018-12-07,4:56 PM,52 F,0 mph,0.0 in
2018-12-08,5:56 PM,50 F,0 mph,0.0 in
2018-12-08,6:56 PM,49 F,0 mph,0.0 in
2018-12-08,7:56 PM,46 F,3 mph,0.0 in
2018-12-08,8:56 PM,46 F,0 mph,0.0 in
2018-12-08,9:56 PM,44 F,0 mph,0.0 in
2018-12-08,10:56 PM,49 F,6 mph,0.0 in
2018-12-08,11:56 PM,49 F,5 mph,0.0 in
2018-12-08,12:56 AM,47 F,3 mph,0.0 in
2018-12-08,1:56 AM,49 F,3 mph,0.0 in
2018-12-08,2:56 AM,53 F,3 mph,0.0 in
2018-12-08,3:56 AM,53 F,3 mph,0.0 in
2018-12-08,4:56 AM,56 F,3 mph,0.0 in
2018-12-08,5:56 AM,58 F,5 mph,0.0 in
2018-12-08,6:56 AM,58 F,0 mph,0.0 in
2018-12-08,7:56 AM,59 F,0 mph,0.0 in
2018-12-08,8:56 AM,59 F,3 mph,0.0 in
2018-12-08,9:56 AM,58 F,0 mph,0.0 in
2018-12-08,10:56 AM,55 F,0 mph,0.0 in
2018-12-08,11:56 AM,55 F,5 mph,0.0 in
2018-12-08,12:56 PM,54 F,0 mph,0.0 in
2018-12-08,1:56 PM,50 F,3 mph,0.0 in
2018-12-08,2:56 PM,50 F,0 mph,0.0 in
2018-12-08,3:56 PM,50 F,0 mph,0.0 in
2018-12-08,4:56 PM,47 F,0 mph,0.0 in
2018-12-09,5:56 PM,49 F,0 mph,0.0 in
2018-12-09,6:56 PM,48 F,0 mph,0.0 in
2018-12-09,7:56 PM,48 F,0 mph,0.0 in
2018-12-09,8:56 PM,45 F,0 mph,0.0 in
2018-12-09,9:56 PM,44 F,0 mph,0.0 in
