start_date,Time,temperature,wind,precipi_
2018-07-01,5:53 PM,58 F,7 mph,0.0 in
2018-07-01,6:53 PM,57 F,7 mph,0.0 in
2018-07-01,7:53 PM,57 F,7 mph,0.0 in
2018-07-01,8:53 PM,57 F,5 mph,0.0 in
2018-07-01,9:53 PM,56 F,7 mph,0.0 in
2018-07-01,10:53 PM,55 F,6 mph,0.0 in
2018-07-01,11:53 PM,57 F,6 mph,0.0 in
2018-07-01,12:53 AM,60 F,3 mph,0.0 in
2018-07-01,1:53 AM,61 F,6 mph,0.0 in
2018-07-01,2:53 AM,64 F,9 mph,0.0 in
2018-07-01,3:53 AM,63 F,15 mph,0.0 in
2018-07-01,4:53 AM,63 F,16 mph,0.0 in
2018-07-01,5:53 AM,64 F,20 mph,0.0 in
2018-07-01,6:53 AM,64 F,16 mph,0.0 in
2018-07-01,7:53 AM,66 F,18 mph,0.0 in
2018-07-01,8:53 AM,66 F,18 mph,0.0 in
2018-07-01,9:53 AM,66 F,18 mph,0.0 in
2018-07-01,10:53 AM,65 F,17 mph,0.0 in
2018-07-01,11:53 AM,64 F,12 mph,0.0 in
2018-07-01,12:53 PM,62 F,12 mph,0.0 in
2018-07-01,1:53 PM,59 F,13 mph,0.0 in
2018-07-01,2:53 PM,58 F,12 mph,0.0 in
2018-07-01,3:53 PM,58 F,7 mph,0.0 in
2018-07-01,4:53 PM,58 F,8 mph,0.0 in
2018-07-02,5:53 PM,58 F,10 mph,0.0 in
2018-07-02,6:53 PM,58 F,6 mph,0.0 in
2018-07-02,7:53 PM,59 F,7 mph,0.0 in
2018-07-02,8:53 PM,58 F,8 mph,0.0 in
2018-07-02,9:53 PM,58 F,8 mph,0.0 in
2018-07-02,10:53 PM,58 F,8 mph,0.0 in
2018-07-02,11:53 PM,58 F,8 mph,0.0 in
2018-07-02,12:53 AM,58 F,8 mph,0.0 in
2018-07-02,1:53 AM,59 F,9 mph,0.0 in
2018-07-02,2:53 AM,60 F,8 mph,0.0 in
2018-07-02,3:53 AM,62 F,6 mph,0.0 in
2018-07-02,4:53 AM,63 F,9 mph,0.0 in
2018-07-02,5:53 AM,65 F,15 mph,0.0 in
2018-07-02,6:53 AM,66 F,15 mph,0.0 in
2018-07-02,7:53 AM,66 F,16 mph,0.0 in
2018-07-02,8:53 AM,66 F,15 mph,0.0 in
2018-07-02,9:53 AM,66 F,15 mph,0.0 in
2018-07-02,10:53 AM,64 F,13 mph,0.0 in
2018-07-02,11:53 AM,61 F,13 mph,0.0 in
2018-07-02,12:53 PM,61 F,10 mph,0.0 in
2018-07-02,1:53 PM,60 F,13 mph,0.0 in
2018-07-02,2:53 PM,58 F,9 mph,0.0 in
2018-07-02,3:53 PM,58 F,6 mph,0.0 in
2018-07-02,4:53 PM,55 F,0 mph,0.0 in
2018-07-03,5:53 PM,55 F,5 mph,0.0 in
2018-07-03,6:53 PM,57 F,3 mph,0.0 in
2018-07-03,7:53 PM,60 F,14 mph,0.0 in
2018-07-03,8:53 PM,59 F,15 mph,0.0 in
2018-07-03,9:53 PM,58 F,13 mph,0.0 in
2018-07-03,10:53 PM,58 F,16 mph,0.0 in
2018-07-03,11:53 PM,59 F,13 mph,0.0 in
2018-07-03,12:53 AM,59 F,13 mph,0.0 in
2018-07-03,1:53 AM,59 F,8 mph,0.0 in
2018-07-03,2:53 AM,62 F,10 mph,0.0 in
2018-07-03,3:53 AM,64 F,8 mph,0.0 in
2018-07-03,4:53 AM,66 F,8 mph,0.0 in
2018-07-03,5:53 AM,68 F,8 mph,0.0 in
2018-07-03,6:53 AM,69 F,13 mph,0.0 in
2018-07-03,7:53 AM,69 F,13 mph,0.0 in
2018-07-03,8:53 AM,70 F,13 mph,0.0 in
2018-07-03,9:53 AM,69 F,15 mph,0.0 in
2018-07-03,10:53 AM,67 F,13 mph,0.0 in
2018-07-03,11:53 AM,65 F,10 mph,0.0 in
2018-07-03,12:53 PM,63 F,12 mph,0.0 in
2018-07-03,1:53 PM,61 F,9 mph,0.0 in
2018-07-03,2:53 PM,61 F,5 mph,0.0 in
2018-07-03,3:53 PM,58 F,0 mph,0.0 in
2018-07-03,4:53 PM,57 F,5 mph,0.0 in
2018-07-04,5:53 PM,60 F,13 mph,0.0 in
2018-07-04,6:53 PM,60 F,12 mph,0.0 in
2018-07-04,7:53 PM,60 F,9 mph,0.0 in
2018-07-04,8:53 PM,59 F,8 mph,0.0 in
2018-07-04,9:53 PM,58 F,14 mph,0.0 in
2018-07-04,10:53 PM,58 F,16 mph,0.0 in
2018-07-04,11:53 PM,59 F,10 mph,0.0 in
2018-07-04,12:53 AM,60 F,12 mph,0.0 in
2018-07-04,1:53 AM,60 F,16 mph,0.0 in
2018-07-04,2:53 AM,62 F,15 mph,0.0 in
2018-07-04,3:53 AM,64 F,16 mph,0.0 in
2018-07-04,4:53 AM,67 F,17 mph,0.0 in
2018-07-04,5:53 AM,68 F,17 mph,0.0 in
2018-07-04,6:53 AM,69 F,17 mph,0.0 in
2018-07-04,7:53 AM,67 F,17 mph,0.0 in
2018-07-04,8:53 AM,65 F,13 mph,0.0 in
2018-07-04,9:53 AM,66 F,16 mph,0.0 in
2018-07-04,10:53 AM,66 F,15 mph,0.0 in
2018-07-04,11:53 AM,63 F,16 mph,0.0 in
2018-07-04,12:53 PM,61 F,12 mph,0.0 in
2018-07-04,1:53 PM,58 F,12 mph,0.0 in
2018-07-04,2:53 PM,57 F,13 mph,0.0 in
2018-07-04,3:53 PM,56 F,9 mph,0.0 in
2018-07-04,4:53 PM,57 F,10 mph,0.0 in
2018-07-05,5:53 PM,56 F,10 mph,0.0 in
2018-07-05,6:53 PM,56 F,6 mph,0.0 in
2018-07-05,7:53 PM,56 F,7 mph,0.0 in
2018-07-05,8:53 PM,56 F,6 mph,0.0 in
2018-07-05,9:53 PM,55 F,12 mph,0.0 in
2018-07-05,10:53 PM,55 F,5 mph,0.0 in
2018-07-05,11:53 PM,56 F,0 mph,0.0 in
2018-07-05,12:53 AM,57 F,0 mph,0.0 in
2018-07-05,1:53 AM,59 F,3 mph,0.0 in
2018-07-05,2:53 AM,61 F,6 mph,0.0 in
2018-07-05,3:53 AM,62 F,7 mph,0.0 in
2018-07-05,4:53 AM,66 F,9 mph,0.0 in
2018-07-05,5:53 AM,67 F,13 mph,0.0 in
2018-07-05,6:53 AM,68 F,13 mph,0.0 in
2018-07-05,7:53 AM,70 F,15 mph,0.0 in
2018-07-05,8:53 AM,71 F,10 mph,0.0 in
2018-07-05,9:53 AM,73 F,13 mph,0.0 in
2018-07-05,10:53 AM,67 F,20 mph,0.0 in
2018-07-05,11:53 AM,65 F,15 mph,0.0 in
2018-07-05,12:53 PM,63 F,12 mph,0.0 in
2018-07-05,1:53 PM,63 F,9 mph,0.0 in
2018-07-05,2:53 PM,62 F,7 mph,0.0 in
2018-07-05,3:53 PM,61 F,3 mph,0.0 in
2018-07-05,4:53 PM,61 F,0 mph,0.0 in
2018-07-06,5:53 PM,61 F,3 mph,0.0 in
2018-07-06,6:53 PM,62 F,3 mph,0.0 in
2018-07-06,7:53 PM,62 F,0 mph,0.0 in
2018-07-06,8:53 PM,63 F,6 mph,0.0 in
2018-07-06,9:53 PM,62 F,5 mph,0.0 in
2018-07-06,10:53 PM,64 F,0 mph,0.0 in
2018-07-06,11:53 PM,63 F,5 mph,0.0 in
2018-07-06,12:53 AM,65 F,0 mph,0.0 in
2018-07-06,1:53 AM,66 F,0 mph,0.0 in
2018-07-06,2:53 AM,66 F,5 mph,0.0 in
2018-07-06,3:53 AM,68 F,9 mph,0.0 in
2018-07-06,4:53 AM,73 F,7 mph,0.0 in
2018-07-06,5:53 AM,75 F,14 mph,0.0 in
2018-07-06,6:53 AM,78 F,14 mph,0.0 in
2018-07-06,7:53 AM,79 F,15 mph,0.0 in
2018-07-06,8:53 AM,79 F,16 mph,0.0 in
2018-07-06,9:53 AM,77 F,15 mph,0.0 in
2018-07-06,10:53 AM,74 F,13 mph,0.0 in
2018-07-06,11:53 AM,69 F,15 mph,0.0 in
2018-07-06,12:53 PM,68 F,10 mph,0.0 in
2018-07-06,1:53 PM,65 F,7 mph,0.0 in
2018-07-06,2:53 PM,63 F,5 mph,0.0 in
2018-07-06,3:53 PM,63 F,0 mph,0.0 in
2018-07-06,4:53 PM,62 F,7 mph,0.0 in
2018-07-07,5:53 PM,63 F,6 mph,0.0 in
2018-07-07,6:53 PM,61 F,6 mph,0.0 in
2018-07-07,7:53 PM,61 F,6 mph,0.0 in
2018-07-07,8:53 PM,60 F,6 mph,0.0 in
2018-07-07,9:53 PM,59 F,8 mph,0.0 in
2018-07-07,10:53 PM,59 F,7 mph,0.0 in
2018-07-07,11:53 PM,61 F,6 mph,0.0 in
2018-07-07,12:53 AM,63 F,7 mph,0.0 in
2018-07-07,1:53 AM,66 F,7 mph,0.0 in
2018-07-07,2:53 AM,67 F,9 mph,0.0 in
2018-07-07,3:53 AM,70 F,10 mph,0.0 in
2018-07-07,4:53 AM,70 F,15 mph,0.0 in
2018-07-07,5:53 AM,70 F,17 mph,0.0 in
2018-07-07,6:53 AM,71 F,20 mph,0.0 in
2018-07-07,7:53 AM,71 F,15 mph,0.0 in
2018-07-07,8:53 AM,71 F,15 mph,0.0 in
2018-07-07,9:53 AM,71 F,17 mph,0.0 in
2018-07-07,10:53 AM,70 F,14 mph,0.0 in
2018-07-07,11:53 AM,68 F,10 mph,0.0 in
2018-07-07,12:53 PM,65 F,3 mph,0.0 in
2018-07-07,1:53 PM,62 F,9 mph,0.0 in
2018-07-07,2:53 PM,61 F,5 mph,0.0 in
2018-07-07,3:53 PM,58 F,0 mph,0.0 in
2018-07-07,4:53 PM,57 F,3 mph,0.0 in
2018-07-08,5:53 PM,58 F,10 mph,0.0 in
2018-07-08,6:53 PM,58 F,5 mph,0.0 in
2018-07-08,7:53 PM,58 F,9 mph,0.0 in
2018-07-08,8:53 PM,57 F,0 mph,0.0 in
2018-07-08,9:53 PM,56 F,7 mph,0.0 in
2018-07-08,10:53 PM,57 F,5 mph,0.0 in
2018-07-08,11:53 PM,57 F,5 mph,0.0 in
2018-07-08,12:53 AM,59 F,7 mph,0.0 in
2018-07-08,1:53 AM,63 F,3 mph,0.0 in
2018-07-08,2:53 AM,62 F,9 mph,0.0 in
2018-07-08,3:53 AM,63 F,6 mph,0.0 in
2018-07-08,4:53 AM,66 F,9 mph,0.0 in
2018-07-08,5:53 AM,69 F,10 mph,0.0 in
2018-07-08,6:53 AM,70 F,12 mph,0.0 in
2018-07-08,7:53 AM,70 F,12 mph,0.0 in
2018-07-08,8:53 AM,71 F,14 mph,0.0 in
2018-07-08,9:53 AM,71 F,13 mph,0.0 in
2018-07-08,10:53 AM,69 F,15 mph,0.0 in
2018-07-08,11:53 AM,67 F,15 mph,0.0 in
2018-07-08,12:53 PM,65 F,16 mph,0.0 in
2018-07-08,1:53 PM,62 F,13 mph,0.0 in
2018-07-08,2:53 PM,61 F,8 mph,0.0 in
2018-07-08,3:53 PM,60 F,10 mph,0.0 in
2018-07-08,4:53 PM,58 F,12 mph,0.0 in
2018-07-09,5:53 PM,58 F,3 mph,0.0 in
2018-07-09,6:53 PM,56 F,0 mph,0.0 in
2018-07-09,7:53 PM,56 F,3 mph,0.0 in
2018-07-09,8:53 PM,56 F,0 mph,0.0 in
2018-07-09,9:53 PM,56 F,0 mph,0.0 in
2018-07-09,10:53 PM,53 F,3 mph,0.0 in
2018-07-09,11:53 PM,57 F,5 mph,0.0 in
2018-07-09,12:53 AM,61 F,0 mph,0.0 in
2018-07-09,1:53 AM,61 F,5 mph,0.0 in
2018-07-09,2:53 AM,63 F,6 mph,0.0 in
2018-07-09,3:53 AM,65 F,5 mph,0.0 in
2018-07-09,4:53 AM,68 F,7 mph,0.0 in
2018-07-09,5:53 AM,72 F,10 mph,0.0 in
2018-07-09,6:53 AM,75 F,14 mph,0.0 in
2018-07-09,7:53 AM,75 F,14 mph,0.0 in
2018-07-09,8:53 AM,74 F,12 mph,0.0 in
2018-07-09,9:53 AM,73 F,15 mph,0.0 in
2018-07-09,10:53 AM,72 F,10 mph,0.0 in
2018-07-09,11:53 AM,72 F,7 mph,0.0 in
2018-07-09,12:53 PM,69 F,12 mph,0.0 in
2018-07-09,1:53 PM,66 F,9 mph,0.0 in
2018-07-09,2:53 PM,65 F,9 mph,0.0 in
2018-07-09,3:53 PM,62 F,10 mph,0.0 in
2018-07-09,4:53 PM,60 F,6 mph,0.0 in
2018-07-10,5:53 PM,61 F,5 mph,0.0 in
2018-07-10,6:53 PM,59 F,0 mph,0.0 in
2018-07-10,7:53 PM,60 F,5 mph,0.0 in
2018-07-10,8:53 PM,60 F,5 mph,0.0 in
2018-07-10,9:53 PM,58 F,8 mph,0.0 in
2018-07-10,10:53 PM,59 F,3 mph,0.0 in
2018-07-10,11:53 PM,60 F,5 mph,0.0 in
2018-07-10,12:53 AM,64 F,0 mph,0.0 in
2018-07-10,1:53 AM,64 F,5 mph,0.0 in
2018-07-10,2:53 AM,66 F,5 mph,0.0 in
2018-07-10,3:53 AM,69 F,6 mph,0.0 in
2018-07-10,4:53 AM,72 F,7 mph,0.0 in
2018-07-10,5:53 AM,74 F,9 mph,0.0 in
2018-07-10,6:53 AM,75 F,17 mph,0.0 in
2018-07-10,7:53 AM,73 F,14 mph,0.0 in
2018-07-10,8:53 AM,73 F,21 mph,0.0 in
2018-07-10,9:53 AM,69 F,17 mph,0.0 in
2018-07-10,10:53 AM,67 F,12 mph,0.0 in
2018-07-10,11:53 AM,65 F,15 mph,0.0 in
2018-07-10,12:53 PM,62 F,13 mph,0.0 in
2018-07-10,1:53 PM,61 F,7 mph,0.0 in
2018-07-10,2:53 PM,59 F,7 mph,0.0 in
2018-07-10,3:53 PM,58 F,7 mph,0.0 in
2018-07-10,4:53 PM,58 F,3 mph,0.0 in
2018-07-11,5:53 PM,58 F,12 mph,0.0 in
2018-07-11,6:53 PM,58 F,10 mph,0.0 in
2018-07-11,7:53 PM,58 F,13 mph,0.0 in
2018-07-11,8:53 PM,57 F,10 mph,0.0 in
2018-07-11,9:53 PM,57 F,12 mph,0.0 in
2018-07-11,10:53 PM,58 F,5 mph,0.0 in
2018-07-11,11:53 PM,58 F,3 mph,0.0 in
2018-07-11,12:53 AM,60 F,6 mph,0.0 in
2018-07-11,1:53 AM,60 F,3 mph,0.0 in
2018-07-11,2:53 AM,62 F,5 mph,0.0 in
2018-07-11,3:53 AM,65 F,7 mph,0.0 in
2018-07-11,4:53 AM,68 F,8 mph,0.0 in
2018-07-11,5:53 AM,68 F,15 mph,0.0 in
2018-07-11,6:53 AM,70 F,15 mph,0.0 in
2018-07-11,7:53 AM,72 F,16 mph,0.0 in
2018-07-11,8:53 AM,71 F,16 mph,0.0 in
2018-07-11,9:53 AM,68 F,17 mph,0.0 in
2018-07-11,10:53 AM,67 F,20 mph,0.0 in
2018-07-11,11:53 AM,65 F,15 mph,0.0 in
2018-07-11,12:53 PM,63 F,13 mph,0.0 in
2018-07-11,1:53 PM,60 F,12 mph,0.0 in
2018-07-11,2:53 PM,59 F,12 mph,0.0 in
2018-07-11,3:53 PM,59 F,10 mph,0.0 in
2018-07-11,4:53 PM,58 F,5 mph,0.0 in
2018-07-12,5:53 PM,58 F,0 mph,0.0 in
2018-07-12,6:53 PM,57 F,7 mph,0.0 in
2018-07-12,7:53 PM,58 F,7 mph,0.0 in
2018-07-12,8:53 PM,58 F,5 mph,0.0 in
2018-07-12,9:53 PM,58 F,6 mph,0.0 in
2018-07-12,10:53 PM,58 F,6 mph,0.0 in
2018-07-12,11:53 PM,59 F,7 mph,0.0 in
2018-07-12,12:53 AM,59 F,6 mph,0.0 in
2018-07-12,1:53 AM,61 F,3 mph,0.0 in
2018-07-12,2:53 AM,65 F,7 mph,0.0 in
2018-07-12,3:53 AM,66 F,9 mph,0.0 in
2018-07-12,4:53 AM,69 F,7 mph,0.0 in
2018-07-12,5:53 AM,69 F,13 mph,0.0 in
2018-07-12,6:53 AM,70 F,14 mph,0.0 in
2018-07-12,7:53 AM,69 F,17 mph,0.0 in
2018-07-12,8:53 AM,69 F,17 mph,0.0 in
2018-07-12,9:53 AM,69 F,16 mph,0.0 in
2018-07-12,10:53 AM,68 F,15 mph,0.0 in
2018-07-12,11:53 AM,66 F,13 mph,0.0 in
2018-07-12,12:53 PM,65 F,14 mph,0.0 in
2018-07-12,1:53 PM,62 F,13 mph,0.0 in
2018-07-12,2:53 PM,62 F,10 mph,0.0 in
2018-07-12,3:53 PM,62 F,5 mph,0.0 in
2018-07-12,4:53 PM,62 F,6 mph,0.0 in
2018-07-13,5:53 PM,61 F,9 mph,0.0 in
2018-07-13,6:53 PM,61 F,6 mph,0.0 in
2018-07-13,7:53 PM,61 F,9 mph,0.0 in
2018-07-13,8:53 PM,60 F,6 mph,0.0 in
2018-07-13,9:53 PM,61 F,7 mph,0.0 in
2018-07-13,10:53 PM,61 F,7 mph,0.0 in
2018-07-13,11:53 PM,61 F,5 mph,0.0 in
2018-07-13,12:53 AM,63 F,6 mph,0.0 in
2018-07-13,1:53 AM,63 F,9 mph,0.0 in
2018-07-13,2:53 AM,65 F,10 mph,0.0 in
2018-07-13,3:53 AM,67 F,10 mph,0.0 in
2018-07-13,4:53 AM,69 F,13 mph,0.0 in
2018-07-13,5:53 AM,71 F,13 mph,0.0 in
2018-07-13,6:53 AM,72 F,15 mph,0.0 in
2018-07-13,7:53 AM,72 F,17 mph,0.0 in
2018-07-13,8:53 AM,70 F,15 mph,0.0 in
2018-07-13,9:53 AM,71 F,15 mph,0.0 in
2018-07-13,10:53 AM,69 F,16 mph,0.0 in
2018-07-13,11:53 AM,67 F,14 mph,0.0 in
2018-07-13,12:53 PM,64 F,12 mph,0.0 in
2018-07-13,1:53 PM,62 F,13 mph,0.0 in
2018-07-13,2:53 PM,60 F,12 mph,0.0 in
2018-07-13,3:53 PM,60 F,12 mph,0.0 in
2018-07-13,4:53 PM,59 F,13 mph,0.0 in
2018-07-14,5:53 PM,59 F,10 mph,0.0 in
2018-07-14,6:53 PM,59 F,10 mph,0.0 in
2018-07-14,7:53 PM,59 F,7 mph,0.0 in
2018-07-14,8:53 PM,58 F,7 mph,0.0 in
2018-07-14,9:53 PM,58 F,8 mph,0.0 in
2018-07-14,10:53 PM,59 F,8 mph,0.0 in
2018-07-14,11:53 PM,59 F,8 mph,0.0 in
2018-07-14,12:53 AM,59 F,12 mph,0.0 in
2018-07-14,1:53 AM,60 F,10 mph,0.0 in
2018-07-14,2:53 AM,62 F,12 mph,0.0 in
2018-07-14,3:53 AM,62 F,8 mph,0.0 in
2018-07-14,4:53 AM,65 F,9 mph,0.0 in
2018-07-14,5:53 AM,69 F,13 mph,0.0 in
2018-07-14,6:53 AM,68 F,18 mph,0.0 in
2018-07-14,7:53 AM,69 F,18 mph,0.0 in
2018-07-14,8:53 AM,68 F,12 mph,0.0 in
2018-07-14,9:53 AM,68 F,15 mph,0.0 in
2018-07-14,10:53 AM,66 F,17 mph,0.0 in
2018-07-14,11:53 AM,63 F,16 mph,0.0 in
2018-07-14,12:53 PM,60 F,16 mph,0.0 in
2018-07-14,1:53 PM,59 F,18 mph,0.0 in
2018-07-14,2:53 PM,58 F,13 mph,0.0 in
2018-07-14,3:53 PM,58 F,10 mph,0.0 in
2018-07-14,4:53 PM,58 F,9 mph,0.0 in
2018-07-15,5:53 PM,57 F,10 mph,0.0 in
2018-07-15,6:53 PM,57 F,8 mph,0.0 in
2018-07-15,7:53 PM,57 F,14 mph,0.0 in
2018-07-15,8:53 PM,57 F,9 mph,0.0 in
2018-07-15,9:53 PM,58 F,9 mph,0.0 in
2018-07-15,10:53 PM,57 F,10 mph,0.0 in
2018-07-15,11:53 PM,57 F,0 mph,0.0 in
2018-07-15,12:53 AM,58 F,9 mph,0.0 in
2018-07-15,1:53 AM,58 F,5 mph,0.0 in
2018-07-15,2:53 AM,59 F,7 mph,0.0 in
2018-07-15,3:53 AM,62 F,9 mph,0.0 in
2018-07-15,4:53 AM,64 F,14 mph,0.0 in
2018-07-15,5:53 AM,65 F,14 mph,0.0 in
2018-07-15,6:53 AM,67 F,14 mph,0.0 in
2018-07-15,7:53 AM,68 F,17 mph,0.0 in
2018-07-15,8:53 AM,68 F,17 mph,0.0 in
2018-07-15,9:53 AM,67 F,18 mph,0.0 in
2018-07-15,10:53 AM,66 F,17 mph,0.0 in
2018-07-15,11:53 AM,63 F,15 mph,0.0 in
2018-07-15,12:53 PM,61 F,15 mph,0.0 in
2018-07-15,1:53 PM,59 F,12 mph,0.0 in
2018-07-15,2:53 PM,58 F,9 mph,0.0 in
2018-07-15,3:53 PM,57 F,9 mph,0.0 in
2018-07-15,4:53 PM,57 F,7 mph,0.0 in
2018-07-16,5:53 PM,57 F,7 mph,0.0 in
2018-07-16,6:53 PM,57 F,10 mph,0.0 in
2018-07-16,7:53 PM,57 F,10 mph,0.0 in
2018-07-16,8:53 PM,56 F,10 mph,0.0 in
2018-07-16,9:53 PM,57 F,9 mph,0.0 in
2018-07-16,10:53 PM,57 F,6 mph,0.0 in
2018-07-16,11:53 PM,58 F,3 mph,0.0 in
2018-07-16,12:53 AM,59 F,0 mph,0.0 in
2018-07-16,1:53 AM,60 F,0 mph,0.0 in
2018-07-16,2:53 AM,62 F,0 mph,0.0 in
2018-07-16,3:53 AM,64 F,7 mph,0.0 in
2018-07-16,4:53 AM,67 F,10 mph,0.0 in
2018-07-16,5:53 AM,68 F,15 mph,0.0 in
2018-07-16,6:53 AM,69 F,14 mph,0.0 in
2018-07-16,7:53 AM,69 F,18 mph,0.0 in
2018-07-16,8:53 AM,68 F,17 mph,0.0 in
2018-07-16,9:53 AM,67 F,17 mph,0.0 in
2018-07-16,10:53 AM,66 F,18 mph,0.0 in
2018-07-16,11:53 AM,64 F,18 mph,0.0 in
2018-07-16,12:53 PM,62 F,14 mph,0.0 in
2018-07-16,1:53 PM,59 F,14 mph,0.0 in
2018-07-16,2:53 PM,58 F,13 mph,0.0 in
2018-07-16,3:53 PM,57 F,10 mph,0.0 in
2018-07-16,4:53 PM,57 F,9 mph,0.0 in
2018-07-17,5:53 PM,57 F,10 mph,0.0 in
2018-07-17,6:53 PM,57 F,8 mph,0.0 in
2018-07-17,7:53 PM,57 F,7 mph,0.0 in
2018-07-17,8:53 PM,57 F,5 mph,0.0 in
2018-07-17,9:53 PM,57 F,5 mph,0.0 in
2018-07-17,10:53 PM,57 F,5 mph,0.0 in
2018-07-17,11:53 PM,57 F,5 mph,0.0 in
2018-07-17,12:53 AM,57 F,5 mph,0.0 in
2018-07-17,1:53 AM,58 F,5 mph,0.0 in
2018-07-17,2:53 AM,59 F,0 mph,0.0 in
2018-07-17,3:53 AM,61 F,5 mph,0.0 in
2018-07-17,4:53 AM,65 F,12 mph,0.0 in
2018-07-17,5:53 AM,66 F,14 mph,0.0 in
2018-07-17,6:53 AM,68 F,15 mph,0.0 in
2018-07-17,7:53 AM,68 F,14 mph,0.0 in
2018-07-17,8:53 AM,68 F,16 mph,0.0 in
2018-07-17,9:53 AM,68 F,17 mph,0.0 in
2018-07-17,10:53 AM,67 F,17 mph,0.0 in
2018-07-17,11:53 AM,64 F,17 mph,0.0 in
2018-07-17,12:53 PM,60 F,14 mph,0.0 in
2018-07-17,1:53 PM,59 F,16 mph,0.0 in
2018-07-17,2:53 PM,57 F,12 mph,0.0 in
2018-07-17,3:53 PM,57 F,10 mph,0.0 in
2018-07-17,4:53 PM,57 F,7 mph,0.0 in
2018-07-18,5:53 PM,57 F,6 mph,0.0 in
2018-07-18,6:53 PM,57 F,7 mph,0.0 in
2018-07-18,7:53 PM,57 F,6 mph,0.0 in
2018-07-18,8:53 PM,57 F,5 mph,0.0 in
2018-07-18,9:53 PM,57 F,3 mph,0.0 in
2018-07-18,10:53 PM,58 F,7 mph,0.0 in
2018-07-18,11:53 PM,58 F,3 mph,0.0 in
2018-07-18,12:53 AM,58 F,3 mph,0.0 in
2018-07-18,1:53 AM,59 F,6 mph,0.0 in
2018-07-18,2:53 AM,61 F,6 mph,0.0 in
2018-07-18,3:53 AM,65 F,9 mph,0.0 in
2018-07-18,4:53 AM,65 F,12 mph,0.0 in
2018-07-18,5:53 AM,68 F,15 mph,0.0 in
2018-07-18,6:53 AM,69 F,18 mph,0.0 in
2018-07-18,7:53 AM,70 F,18 mph,0.0 in
2018-07-18,8:53 AM,69 F,18 mph,0.0 in
2018-07-18,9:53 AM,67 F,20 mph,0.0 in
2018-07-18,10:53 AM,64 F,20 mph,0.0 in
2018-07-18,11:53 AM,62 F,17 mph,0.0 in
2018-07-18,12:53 PM,60 F,15 mph,0.0 in
2018-07-18,1:53 PM,58 F,12 mph,0.0 in
2018-07-18,2:53 PM,58 F,9 mph,0.0 in
2018-07-18,3:53 PM,58 F,13 mph,0.0 in
2018-07-18,4:53 PM,58 F,9 mph,0.0 in
