start_date,Time,temperature,wind,precipi_
2018-06-01,5:53 PM,53 F,6 mph,0.0 in
2018-06-01,6:53 PM,53 F,8 mph,0.0 in
2018-06-01,7:53 PM,53 F,8 mph,0.0 in
2018-06-01,8:53 PM,53 F,8 mph,0.0 in
2018-06-01,9:53 PM,53 F,7 mph,0.0 in
2018-06-01,10:53 PM,52 F,7 mph,0.0 in
2018-06-01,11:53 PM,53 F,3 mph,0.0 in
2018-06-01,12:53 AM,55 F,6 mph,0.0 in
2018-06-01,1:53 AM,57 F,8 mph,0.0 in
2018-06-01,2:53 AM,57 F,7 mph,0.0 in
2018-06-01,3:53 AM,59 F,8 mph,0.0 in
2018-06-01,4:53 AM,64 F,7 mph,0.0 in
2018-06-01,5:53 AM,68 F,9 mph,0.0 in
2018-06-01,6:53 AM,70 F,10 mph,0.0 in
2018-06-01,7:53 AM,72 F,16 mph,0.0 in
2018-06-01,8:53 AM,71 F,18 mph,0.0 in
2018-06-01,9:53 AM,70 F,14 mph,0.0 in
2018-06-01,10:53 AM,68 F,12 mph,0.0 in
2018-06-01,11:53 AM,66 F,12 mph,0.0 in
2018-06-01,12:53 PM,63 F,9 mph,0.0 in
2018-06-01,1:53 PM,60 F,7 mph,0.0 in
2018-06-01,2:53 PM,59 F,3 mph,0.0 in
2018-06-01,3:53 PM,59 F,0 mph,0.0 in
2018-06-01,4:53 PM,57 F,0 mph,0.0 in
2018-06-02,5:53 PM,57 F,3 mph,0.0 in
2018-06-02,6:53 PM,56 F,0 mph,0.0 in
2018-06-02,7:53 PM,56 F,0 mph,0.0 in
2018-06-02,8:53 PM,56 F,0 mph,0.0 in
2018-06-02,9:53 PM,54 F,3 mph,0.0 in
2018-06-02,10:53 PM,55 F,3 mph,0.0 in
2018-06-02,11:53 PM,58 F,0 mph,0.0 in
2018-06-02,12:53 AM,63 F,0 mph,0.0 in
2018-06-02,1:53 AM,64 F,5 mph,0.0 in
2018-06-02,2:53 AM,65 F,6 mph,0.0 in
