start_date,Time,temperature,wind,precipi_
2018-11-01,5:56 PM,59 F,3 mph,0.0 in
2018-11-01,6:56 PM,56 F,3 mph,0.0 in
2018-11-01,7:56 PM,57 F,0 mph,0.0 in
2018-11-01,8:56 PM,56 F,5 mph,0.0 in
2018-11-01,9:56 PM,56 F,0 mph,0.0 in
2018-11-01,10:56 PM,55 F,3 mph,0.0 in
2018-11-01,11:56 PM,56 F,0 mph,0.0 in
2018-11-01,12:56 AM,59 F,0 mph,0.0 in
2018-11-01,1:56 AM,62 F,5 mph,0.0 in
2018-11-01,2:56 AM,65 F,3 mph,0.0 in
2018-11-01,3:56 AM,67 F,3 mph,0.0 in
2018-11-01,4:56 AM,67 F,3 mph,0.0 in
2018-11-01,5:56 AM,76 F,0 mph,0.0 in
2018-11-01,6:56 AM,77 F,0 mph,0.0 in
2018-11-01,7:56 AM,82 F,0 mph,0.0 in
2018-11-01,8:56 AM,79 F,0 mph,0.0 in
2018-11-01,9:56 AM,76 F,12 mph,0.0 in
2018-11-01,10:56 AM,72 F,14 mph,0.0 in
2018-11-01,11:56 AM,68 F,14 mph,0.0 in
2018-11-01,12:56 PM,67 F,13 mph,0.0 in
2018-11-01,1:56 PM,64 F,8 mph,0.0 in
2018-11-01,2:56 PM,64 F,8 mph,0.0 in
2018-11-01,3:56 PM,65 F,6 mph,0.0 in
2018-11-01,4:56 PM,61 F,3 mph,0.0 in
2018-11-02,5:56 PM,59 F,9 mph,0.0 in
2018-11-02,6:56 PM,59 F,8 mph,0.0 in
2018-11-02,7:56 PM,56 F,5 mph,0.0 in
2018-11-02,8:56 PM,55 F,6 mph,0.0 in
2018-11-02,9:56 PM,55 F,6 mph,0.0 in
2018-11-02,10:56 PM,55 F,0 mph,0.0 in
2018-11-02,11:56 PM,55 F,7 mph,0.0 in
2018-11-02,12:56 AM,55 F,5 mph,0.0 in
2018-11-02,1:56 AM,61 F,0 mph,0.0 in
2018-11-02,2:56 AM,65 F,0 mph,0.0 in
2018-11-02,3:56 AM,64 F,5 mph,0.0 in
2018-11-02,4:56 AM,67 F,6 mph,0.0 in
2018-11-02,5:56 AM,72 F,7 mph,0.0 in
2018-11-02,6:56 AM,68 F,18 mph,0.0 in
2018-11-02,7:56 AM,73 F,15 mph,0.0 in
2018-11-02,8:56 AM,70 F,17 mph,0.0 in
2018-11-02,9:56 AM,67 F,14 mph,0.0 in
2018-11-02,10:56 AM,64 F,13 mph,0.0 in
2018-11-02,11:56 AM,61 F,14 mph,0.0 in
2018-11-02,12:56 PM,61 F,9 mph,0.0 in
2018-11-02,1:56 PM,61 F,7 mph,0.0 in
2018-11-02,2:56 PM,61 F,6 mph,0.0 in
2018-11-02,3:56 PM,62 F,6 mph,0.0 in
2018-11-02,4:56 PM,58 F,8 mph,0.0 in
2018-11-03,5:56 PM,56 F,3 mph,0.0 in
2018-11-03,6:56 PM,56 F,5 mph,0.0 in
2018-11-03,7:56 PM,55 F,5 mph,0.0 in
2018-11-03,8:56 PM,56 F,3 mph,0.0 in
2018-11-03,9:56 PM,53 F,3 mph,0.0 in
2018-11-03,10:56 PM,55 F,5 mph,0.0 in
2018-11-03,11:56 PM,53 F,3 mph,0.0 in
2018-11-03,12:56 AM,56 F,3 mph,0.0 in
2018-11-03,1:56 AM,58 F,0 mph,0.0 in
2018-11-03,2:56 AM,66 F,0 mph,0.0 in
2018-11-03,3:56 AM,67 F,5 mph,0.0 in
2018-11-03,4:56 AM,69 F,3 mph,0.0 in
2018-11-03,5:56 AM,69 F,5 mph,0.0 in
2018-11-03,6:56 AM,77 F,7 mph,0.0 in
2018-11-03,7:56 AM,78 F,13 mph,0.0 in
2018-11-03,8:56 AM,77 F,10 mph,0.0 in
2018-11-03,9:56 AM,70 F,15 mph,0.0 in
2018-11-03,10:56 AM,67 F,13 mph,0.0 in
2018-11-03,11:56 AM,61 F,7 mph,0.0 in
2018-11-03,12:56 PM,59 F,6 mph,0.0 in
2018-11-03,1:56 PM,59 F,8 mph,0.0 in
2018-11-03,2:56 PM,58 F,7 mph,0.0 in
2018-11-03,3:56 PM,59 F,8 mph,0.0 in
2018-11-03,4:56 PM,58 F,7 mph,0.0 in
2018-11-04,5:56 PM,56 F,3 mph,0.0 in
2018-11-04,6:56 PM,56 F,5 mph,0.0 in
2018-11-04,7:56 PM,55 F,5 mph,0.0 in
2018-11-04,8:56 PM,56 F,3 mph,0.0 in
2018-11-04,9:56 PM,53 F,3 mph,0.0 in
2018-11-04,10:56 PM,55 F,5 mph,0.0 in
2018-11-04,11:56 PM,53 F,3 mph,0.0 in
2018-11-04,12:56 AM,56 F,3 mph,0.0 in
2018-11-04,1:56 AM,58 F,0 mph,0.0 in
2018-11-04,2:56 AM,66 F,0 mph,0.0 in
2018-11-04,3:56 AM,67 F,5 mph,0.0 in
2018-11-04,4:56 AM,69 F,3 mph,0.0 in
2018-11-04,5:56 AM,69 F,5 mph,0.0 in
2018-11-04,6:56 AM,77 F,7 mph,0.0 in
2018-11-04,7:56 AM,78 F,13 mph,0.0 in
2018-11-04,8:56 AM,77 F,10 mph,0.0 in
2018-11-04,9:56 AM,70 F,15 mph,0.0 in
2018-11-04,10:56 AM,67 F,13 mph,0.0 in
2018-11-04,11:56 AM,61 F,7 mph,0.0 in
2018-11-04,12:56 PM,59 F,6 mph,0.0 in
2018-11-04,1:56 PM,59 F,8 mph,0.0 in
2018-11-04,2:56 PM,58 F,7 mph,0.0 in
2018-11-04,3:56 PM,59 F,8 mph,0.0 in
2018-11-04,4:56 PM,58 F,7 mph,0.0 in
2018-11-05,5:56 PM,52 F,13 mph,0.0 in
2018-11-05,6:56 PM,53 F,9 mph,0.0 in
2018-11-05,7:56 PM,52 F,7 mph,0.0 in
2018-11-05,8:56 PM,53 F,5 mph,0.0 in
2018-11-05,9:56 PM,54 F,3 mph,0.0 in
2018-11-05,10:56 PM,52 F,7 mph,0.0 in
2018-11-05,11:56 PM,53 F,0 mph,0.0 in
2018-11-05,12:56 AM,57 F,3 mph,0.0 in
2018-11-05,1:56 AM,61 F,0 mph,0.0 in
2018-11-05,2:56 AM,63 F,0 mph,0.0 in
2018-11-05,3:56 AM,65 F,3 mph,0.0 in
2018-11-05,4:56 AM,70 F,14 mph,0.0 in
2018-11-05,5:56 AM,67 F,15 mph,0.0 in
2018-11-05,6:56 AM,67 F,18 mph,0.0 in
