start_date,Time,temperature,wind,precipi_
2018-10-01,5:56 PM,61 F,10 mph,0.0 in
2018-10-01,6:56 PM,61 F,8 mph,0.0 in
2018-10-01,7:56 PM,59 F,5 mph,0.0 in
2018-10-01,8:56 PM,60 F,0 mph,0.0 in
2018-10-01,9:56 PM,60 F,5 mph,0.0 in
2018-10-01,10:56 PM,58 F,0 mph,0.0 in
2018-10-01,11:56 PM,62 F,3 mph,0.0 in
2018-10-01,12:56 AM,62 F,5 mph,0.0 in
2018-10-01,1:56 AM,64 F,6 mph,0.0 in
2018-10-01,2:56 AM,65 F,3 mph,0.0 in
2018-10-01,3:56 AM,66 F,5 mph,0.0 in
2018-10-01,4:56 AM,67 F,8 mph,0.0 in
2018-10-01,5:56 AM,67 F,5 mph,0.0 in
2018-10-01,6:56 AM,70 F,3 mph,0.0 in
2018-10-01,7:56 AM,70 F,3 mph,0.0 in
2018-10-01,8:56 AM,73 F,14 mph,0.0 in
2018-10-01,9:56 AM,67 F,17 mph,0.0 in
2018-10-01,10:56 AM,64 F,15 mph,0.0 in
2018-10-01,11:56 AM,65 F,8 mph,0.0 in
2018-10-01,12:56 PM,65 F,3 mph,0.0 in
2018-10-01,1:56 PM,64 F,3 mph,0.0 in
2018-10-01,2:56 PM,65 F,3 mph,0.0 in
2018-10-01,3:56 PM,66 F,0 mph,0.0 in
2018-10-01,4:56 PM,66 F,3 mph,0.0 in
2018-10-02,5:56 PM,65 F,0 mph,0.0 in
2018-10-02,6:56 PM,64 F,8 mph,0.0 in
2018-10-02,7:56 PM,61 F,3 mph,0.0 in
2018-10-02,8:56 PM,63 F,0 mph,0.0 in
2018-10-02,9:56 PM,62 F,0 mph,0.0 in
2018-10-02,10:56 PM,63 F,5 mph,0.0 in
2018-10-02,11:56 PM,61 F,7 mph,0.0 in
2018-10-02,12:56 AM,61 F,5 mph,0.1 in
2018-10-02,1:56 AM,62 F,6 mph,0.0 in
2018-10-02,2:56 AM,64 F,3 mph,0.0 in
2018-10-02,3:56 AM,67 F,5 mph,0.0 in
2018-10-02,4:56 AM,71 F,0 mph,0.0 in
2018-10-02,5:56 AM,73 F,8 mph,0.0 in
2018-10-02,6:56 AM,70 F,9 mph,0.0 in
2018-10-02,7:56 AM,70 F,10 mph,0.0 in
2018-10-02,8:56 AM,71 F,22 mph,0.0 in
2018-10-02,9:56 AM,70 F,13 mph,0.0 in
2018-10-02,10:56 AM,70 F,10 mph,0.0 in
2018-10-02,11:56 AM,68 F,16 mph,0.0 in
2018-10-02,12:56 PM,67 F,10 mph,0.0 in
2018-10-02,1:56 PM,67 F,6 mph,0.0 in
2018-10-02,2:56 PM,68 F,3 mph,0.0 in
2018-10-02,3:56 PM,67 F,8 mph,0.0 in
2018-10-02,4:56 PM,67 F,3 mph,0.0 in
2018-10-03,5:56 PM,66 F,3 mph,0.0 in
2018-10-03,6:56 PM,66 F,6 mph,0.0 in
2018-10-03,7:56 PM,64 F,3 mph,0.0 in
2018-10-03,8:56 PM,64 F,3 mph,0.0 in
2018-10-03,9:56 PM,64 F,0 mph,0.0 in
2018-10-03,10:56 PM,65 F,6 mph,0.0 in
2018-10-03,11:56 PM,65 F,3 mph,0.0 in
2018-10-03,12:56 AM,64 F,0 mph,0.0 in
2018-10-03,1:56 AM,67 F,0 mph,0.0 in
2018-10-03,2:56 AM,67 F,3 mph,0.0 in
2018-10-03,3:56 AM,67 F,8 mph,0.0 in
2018-10-03,4:56 AM,70 F,6 mph,0.0 in
2018-10-03,5:56 AM,69 F,9 mph,0.0 in
2018-10-03,6:56 AM,71 F,16 mph,0.0 in
2018-10-03,7:56 AM,73 F,13 mph,0.0 in
2018-10-03,8:56 AM,73 F,18 mph,0.0 in
2018-10-03,9:56 AM,70 F,16 mph,0.0 in
2018-10-03,10:56 AM,67 F,15 mph,0.0 in
2018-10-03,11:56 AM,67 F,3 mph,0.0 in
2018-10-03,12:56 PM,64 F,10 mph,0.0 in
2018-10-03,1:56 PM,64 F,14 mph,0.0 in
2018-10-03,2:56 PM,64 F,14 mph,0.0 in
2018-10-03,3:56 PM,64 F,7 mph,0.0 in
2018-10-03,4:56 PM,64 F,5 mph,0.0 in
2018-10-04,5:56 PM,62 F,5 mph,0.0 in
2018-10-04,6:56 PM,62 F,7 mph,0.0 in
2018-10-04,7:56 PM,61 F,6 mph,0.0 in
2018-10-04,8:56 PM,61 F,7 mph,0.0 in
2018-10-04,9:56 PM,63 F,6 mph,0.0 in
2018-10-04,10:56 PM,61 F,6 mph,0.0 in
2018-10-04,11:56 PM,61 F,8 mph,0.0 in
2018-10-04,12:56 AM,61 F,5 mph,0.0 in
2018-10-04,1:56 AM,63 F,6 mph,0.0 in
2018-10-04,2:56 AM,64 F,7 mph,0.0 in
2018-10-04,3:56 AM,65 F,12 mph,0.0 in
2018-10-04,4:56 AM,67 F,13 mph,0.0 in
2018-10-04,5:56 AM,67 F,7 mph,0.0 in
2018-10-04,6:56 AM,70 F,12 mph,0.0 in
2018-10-04,7:56 AM,67 F,16 mph,0.0 in
2018-10-04,8:56 AM,67 F,15 mph,0.0 in
2018-10-04,9:56 AM,64 F,16 mph,0.0 in
2018-10-04,10:56 AM,59 F,12 mph,0.0 in
2018-10-04,11:56 AM,59 F,15 mph,0.0 in
2018-10-04,12:56 PM,58 F,14 mph,0.0 in
2018-10-04,1:56 PM,59 F,12 mph,0.0 in
2018-10-04,2:56 PM,59 F,12 mph,0.0 in
2018-10-04,3:56 PM,59 F,7 mph,0.0 in
2018-10-04,4:56 PM,58 F,8 mph,0.0 in
2018-10-05,5:56 PM,58 F,10 mph,0.0 in
2018-10-05,6:56 PM,58 F,10 mph,0.0 in
2018-10-05,7:56 PM,58 F,10 mph,0.0 in
2018-10-05,8:56 PM,56 F,7 mph,0.0 in
2018-10-05,9:56 PM,55 F,8 mph,0.0 in
2018-10-05,10:56 PM,56 F,6 mph,0.0 in
2018-10-05,11:56 PM,56 F,7 mph,0.0 in
2018-10-05,12:56 AM,55 F,3 mph,0.0 in
2018-10-05,1:56 AM,58 F,3 mph,0.0 in
2018-10-05,2:56 AM,61 F,0 mph,0.0 in
2018-10-05,3:56 AM,63 F,3 mph,0.0 in
2018-10-05,4:56 AM,65 F,3 mph,0.0 in
2018-10-05,5:56 AM,70 F,9 mph,0.0 in
2018-10-05,6:56 AM,69 F,14 mph,0.0 in
2018-10-05,7:56 AM,69 F,14 mph,0.0 in
2018-10-05,8:56 AM,67 F,17 mph,0.0 in
2018-10-05,9:56 AM,66 F,18 mph,0.0 in
2018-10-05,10:56 AM,63 F,22 mph,0.0 in
2018-10-05,11:56 AM,61 F,21 mph,0.0 in
2018-10-05,12:56 PM,59 F,17 mph,0.0 in
2018-10-05,1:56 PM,59 F,15 mph,0.0 in
2018-10-05,2:56 PM,59 F,17 mph,0.0 in
2018-10-05,3:56 PM,58 F,16 mph,0.0 in
2018-10-05,4:56 PM,58 F,14 mph,0.0 in
2018-10-06,5:56 PM,58 F,17 mph,0.0 in
2018-10-06,6:56 PM,58 F,17 mph,0.0 in
2018-10-06,7:56 PM,58 F,15 mph,0.0 in
2018-10-06,8:56 PM,58 F,12 mph,0.0 in
2018-10-06,9:56 PM,58 F,15 mph,0.0 in
2018-10-06,10:56 PM,61 F,10 mph,0.0 in
2018-10-06,11:56 PM,59 F,12 mph,0.0 in
2018-10-06,12:56 AM,58 F,15 mph,0.0 in
2018-10-06,1:56 AM,59 F,14 mph,0.0 in
2018-10-06,2:56 AM,58 F,17 mph,0.0 in
2018-10-06,3:56 AM,65 F,14 mph,0.0 in
2018-10-06,4:56 AM,66 F,15 mph,0.0 in
2018-10-06,5:56 AM,68 F,20 mph,0.0 in
2018-10-06,6:56 AM,70 F,20 mph,0.0 in
2018-10-06,7:56 AM,70 F,20 mph,0.0 in
2018-10-06,8:56 AM,68 F,24 mph,0.0 in
2018-10-06,9:56 AM,67 F,26 mph,0.0 in
2018-10-06,10:56 AM,64 F,22 mph,0.0 in
2018-10-06,11:56 AM,61 F,20 mph,0.0 in
2018-10-06,12:56 PM,62 F,12 mph,0.0 in
2018-10-06,1:56 PM,61 F,18 mph,0.0 in
2018-10-06,2:56 PM,61 F,16 mph,0.0 in
2018-10-06,3:56 PM,61 F,10 mph,0.0 in
2018-10-06,4:56 PM,62 F,12 mph,0.0 in
2018-10-07,5:56 PM,61 F,12 mph,0.0 in
2018-10-07,6:56 PM,62 F,12 mph,0.0 in
2018-10-07,7:56 PM,61 F,14 mph,0.0 in
2018-10-07,8:56 PM,61 F,14 mph,0.0 in
2018-10-07,9:56 PM,68 F,13 mph,0.0 in
2018-10-07,10:56 PM,67 F,14 mph,0.0 in
2018-10-07,11:56 PM,62 F,9 mph,0.0 in
2018-10-07,12:56 AM,67 F,16 mph,0.0 in
2018-10-07,1:56 AM,69 F,15 mph,0.0 in
2018-10-07,2:56 AM,71 F,17 mph,0.0 in
2018-10-07,3:56 AM,71 F,15 mph,0.0 in
2018-10-07,4:56 AM,73 F,15 mph,0.0 in
2018-10-07,5:56 AM,77 F,18 mph,0.0 in
2018-10-07,6:56 AM,77 F,14 mph,0.0 in
2018-10-07,7:56 AM,75 F,18 mph,0.0 in
2018-10-07,8:56 AM,76 F,18 mph,0.0 in
2018-10-07,9:56 AM,73 F,21 mph,0.0 in
2018-10-07,10:56 AM,70 F,17 mph,0.0 in
2018-10-07,11:56 AM,64 F,17 mph,0.0 in
2018-10-07,12:56 PM,66 F,14 mph,0.0 in
2018-10-07,1:56 PM,66 F,13 mph,0.0 in
2018-10-07,2:56 PM,65 F,13 mph,0.0 in
2018-10-07,3:56 PM,65 F,9 mph,0.0 in
2018-10-07,4:56 PM,73 F,10 mph,0.0 in
2018-10-08,5:56 PM,69 F,10 mph,0.0 in
2018-10-08,6:56 PM,71 F,7 mph,0.0 in
2018-10-08,7:56 PM,65 F,8 mph,0.0 in
2018-10-08,8:56 PM,61 F,10 mph,0.0 in
2018-10-08,9:56 PM,61 F,8 mph,0.0 in
2018-10-08,10:56 PM,61 F,0 mph,0.0 in
2018-10-08,11:56 PM,62 F,7 mph,0.0 in
2018-10-08,12:56 AM,65 F,3 mph,0.0 in
2018-10-08,1:56 AM,67 F,5 mph,0.0 in
2018-10-08,2:56 AM,70 F,3 mph,0.0 in
2018-10-08,3:56 AM,73 F,10 mph,0.0 in
2018-10-08,4:56 AM,76 F,9 mph,0.0 in
2018-10-08,5:56 AM,76 F,6 mph,0.0 in
2018-10-08,6:56 AM,79 F,14 mph,0.0 in
2018-10-08,7:56 AM,76 F,15 mph,0.0 in
2018-10-08,8:56 AM,76 F,15 mph,0.0 in
2018-10-08,9:56 AM,73 F,18 mph,0.0 in
2018-10-08,10:56 AM,70 F,16 mph,0.0 in
2018-10-08,11:56 AM,62 F,16 mph,0.0 in
2018-10-08,12:56 PM,61 F,14 mph,0.0 in
2018-10-08,1:56 PM,61 F,10 mph,0.0 in
2018-10-08,2:56 PM,59 F,9 mph,0.0 in
2018-10-08,3:56 PM,58 F,7 mph,0.0 in
2018-10-08,4:56 PM,58 F,8 mph,0.0 in
2018-10-09,5:56 PM,58 F,13 mph,0.0 in
2018-10-09,6:56 PM,56 F,9 mph,0.0 in
2018-10-09,7:56 PM,56 F,8 mph,0.0 in
2018-10-09,8:56 PM,55 F,6 mph,0.0 in
2018-10-09,9:56 PM,56 F,5 mph,0.0 in
2018-10-09,10:56 PM,56 F,6 mph,0.0 in
2018-10-09,11:56 PM,56 F,3 mph,0.0 in
2018-10-09,12:56 AM,56 F,6 mph,0.0 in
2018-10-09,1:56 AM,61 F,3 mph,0.0 in
2018-10-09,2:56 AM,64 F,3 mph,0.0 in
2018-10-09,3:56 AM,65 F,6 mph,0.0 in
2018-10-09,4:56 AM,67 F,6 mph,0.0 in
2018-10-09,5:56 AM,67 F,7 mph,0.0 in
2018-10-09,6:56 AM,71 F,9 mph,0.0 in
2018-10-09,7:56 AM,73 F,7 mph,0.0 in
2018-10-09,8:56 AM,72 F,5 mph,0.0 in
2018-10-09,9:56 AM,68 F,17 mph,0.0 in
2018-10-09,10:56 AM,61 F,12 mph,0.0 in
2018-10-09,11:56 AM,61 F,3 mph,0.0 in
2018-10-09,12:56 PM,62 F,12 mph,0.0 in
2018-10-09,1:56 PM,59 F,16 mph,0.0 in
2018-10-09,2:56 PM,58 F,9 mph,0.0 in
2018-10-09,3:56 PM,58 F,3 mph,0.0 in
2018-10-09,4:56 PM,56 F,0 mph,0.0 in
2018-10-10,5:56 PM,56 F,7 mph,0.0 in
2018-10-10,6:56 PM,56 F,3 mph,0.0 in
2018-10-10,7:56 PM,55 F,8 mph,0.0 in
2018-10-10,8:56 PM,55 F,10 mph,0.0 in
2018-10-10,9:56 PM,56 F,7 mph,0.0 in
2018-10-10,10:56 PM,55 F,3 mph,0.0 in
2018-10-10,11:56 PM,52 F,8 mph,0.0 in
2018-10-10,12:56 AM,56 F,9 mph,0.0 in
2018-10-10,1:56 AM,59 F,5 mph,0.0 in
2018-10-10,2:56 AM,62 F,5 mph,0.0 in
2018-10-10,3:56 AM,63 F,7 mph,0.0 in
2018-10-10,4:56 AM,64 F,7 mph,0.0 in
2018-10-10,5:56 AM,65 F,8 mph,0.0 in
2018-10-10,6:56 AM,67 F,8 mph,0.0 in
2018-10-10,7:56 AM,67 F,16 mph,0.0 in
2018-10-10,8:56 AM,65 F,17 mph,0.0 in
2018-10-10,9:56 AM,64 F,9 mph,0.0 in
2018-10-10,10:56 AM,64 F,3 mph,0.0 in
2018-10-10,11:56 AM,62 F,6 mph,0.0 in
2018-10-10,12:56 PM,59 F,9 mph,0.0 in
2018-10-10,1:56 PM,58 F,7 mph,0.0 in
2018-10-10,2:56 PM,58 F,0 mph,0.0 in
2018-10-10,3:56 PM,59 F,7 mph,0.0 in
2018-10-10,4:56 PM,58 F,6 mph,0.0 in
2018-10-11,5:56 PM,56 F,7 mph,0.0 in
2018-10-11,6:56 PM,56 F,0 mph,0.0 in
2018-10-11,7:56 PM,56 F,0 mph,0.0 in
2018-10-11,8:56 PM,54 F,0 mph,0.0 in
2018-10-11,9:56 PM,52 F,0 mph,0.0 in
2018-10-11,10:56 PM,53 F,0 mph,0.0 in
2018-10-11,11:56 PM,55 F,3 mph,0.0 in
2018-10-11,12:56 AM,57 F,3 mph,0.0 in
2018-10-11,1:56 AM,62 F,3 mph,0.0 in
2018-10-11,2:56 AM,65 F,6 mph,0.0 in
2018-10-11,3:56 AM,67 F,3 mph,0.0 in
2018-10-11,4:56 AM,68 F,5 mph,0.0 in
2018-10-11,5:56 AM,75 F,0 mph,0.0 in
2018-10-11,6:56 AM,77 F,5 mph,0.0 in
2018-10-11,7:56 AM,78 F,3 mph,0.0 in
2018-10-11,8:56 AM,77 F,17 mph,0.0 in
2018-10-11,9:56 AM,73 F,18 mph,0.0 in
2018-10-11,10:56 AM,71 F,20 mph,0.0 in
2018-10-11,11:56 AM,68 F,20 mph,0.0 in
2018-10-11,12:56 PM,67 F,16 mph,0.0 in
2018-10-11,1:56 PM,66 F,7 mph,0.0 in
