start_date,Time,temperature,wind,precipi_
2018-09-01,5:56 PM,58 F,15 mph,0.0 in
2018-09-01,6:56 PM,57 F,17 mph,0.0 in
2018-09-01,7:56 PM,56 F,15 mph,0.0 in
2018-09-01,8:56 PM,55 F,14 mph,0.0 in
2018-09-01,9:56 PM,55 F,13 mph,0.0 in
2018-09-01,10:56 PM,55 F,13 mph,0.0 in
2018-09-01,11:56 PM,55 F,10 mph,0.0 in
2018-09-01,12:56 AM,58 F,9 mph,0.0 in
2018-09-01,1:56 AM,59 F,7 mph,0.0 in
2018-09-01,2:56 AM,61 F,6 mph,0.0 in
2018-09-01,3:56 AM,65 F,13 mph,0.0 in
2018-09-01,4:56 AM,67 F,10 mph,0.0 in
2018-09-01,5:56 AM,67 F,16 mph,0.0 in
2018-09-01,6:56 AM,66 F,20 mph,0.0 in
2018-09-01,7:56 AM,66 F,20 mph,0.0 in
2018-09-01,8:56 AM,65 F,18 mph,0.0 in
2018-09-01,9:56 AM,65 F,20 mph,0.0 in
2018-09-01,10:56 AM,62 F,18 mph,0.0 in
2018-09-01,11:56 AM,60 F,16 mph,0.0 in
2018-09-01,12:56 PM,59 F,10 mph,0.0 in
2018-09-01,1:56 PM,58 F,9 mph,0.0 in
2018-09-01,2:56 PM,58 F,7 mph,0.0 in
2018-09-01,3:56 PM,57 F,7 mph,0.0 in
2018-09-01,4:56 PM,56 F,7 mph,0.0 in
2018-09-02,5:56 PM,56 F,6 mph,0.0 in
2018-09-02,6:56 PM,56 F,8 mph,0.0 in
2018-09-02,7:56 PM,55 F,7 mph,0.0 in
2018-09-02,8:56 PM,56 F,7 mph,0.0 in
2018-09-02,9:56 PM,55 F,3 mph,0.0 in
2018-09-02,10:56 PM,54 F,5 mph,0.0 in
2018-09-02,11:56 PM,55 F,5 mph,0.0 in
2018-09-02,12:56 AM,56 F,0 mph,0.0 in
2018-09-02,1:56 AM,59 F,3 mph,0.0 in
2018-09-02,2:56 AM,62 F,5 mph,0.0 in
2018-09-02,3:56 AM,64 F,3 mph,0.0 in
2018-09-02,4:56 AM,67 F,16 mph,0.0 in
2018-09-02,5:56 AM,67 F,17 mph,0.0 in
2018-09-02,6:56 AM,67 F,17 mph,0.0 in
2018-09-02,7:56 AM,67 F,17 mph,0.0 in
2018-09-02,8:56 AM,65 F,22 mph,0.0 in
2018-09-02,9:56 AM,64 F,23 mph,0.0 in
2018-09-02,10:56 AM,62 F,20 mph,0.0 in
2018-09-02,11:56 AM,60 F,17 mph,0.0 in
2018-09-02,12:56 PM,58 F,15 mph,0.0 in
2018-09-02,1:56 PM,58 F,14 mph,0.0 in
2018-09-02,2:56 PM,56 F,10 mph,0.0 in
2018-09-02,3:56 PM,56 F,9 mph,0.0 in
2018-09-02,4:56 PM,55 F,8 mph,0.0 in
2018-09-03,5:56 PM,56 F,9 mph,0.0 in
2018-09-03,6:56 PM,55 F,5 mph,0.0 in
2018-09-03,7:56 PM,56 F,5 mph,0.0 in
2018-09-03,8:56 PM,55 F,5 mph,0.0 in
2018-09-03,9:56 PM,55 F,3 mph,0.0 in
2018-09-03,10:56 PM,55 F,6 mph,0.0 in
2018-09-03,11:56 PM,56 F,6 mph,0.0 in
2018-09-03,12:56 AM,56 F,0 mph,0.0 in
2018-09-03,1:56 AM,59 F,3 mph,0.0 in
2018-09-03,2:56 AM,61 F,0 mph,0.0 in
2018-09-03,3:56 AM,64 F,7 mph,0.0 in
2018-09-03,4:56 AM,65 F,9 mph,0.0 in
2018-09-03,5:56 AM,66 F,10 mph,0.0 in
2018-09-03,6:56 AM,68 F,7 mph,0.0 in
2018-09-03,7:56 AM,68 F,21 mph,0.0 in
2018-09-03,8:56 AM,67 F,20 mph,0.0 in
2018-09-03,9:56 AM,66 F,20 mph,0.0 in
2018-09-03,10:56 AM,63 F,21 mph,0.0 in
2018-09-03,11:56 AM,62 F,18 mph,0.0 in
2018-09-03,12:56 PM,58 F,16 mph,0.0 in
2018-09-03,1:56 PM,59 F,13 mph,0.0 in
2018-09-03,2:56 PM,59 F,9 mph,0.0 in
2018-09-03,3:56 PM,58 F,9 mph,0.0 in
2018-09-03,4:56 PM,58 F,8 mph,0.0 in
2018-09-04,5:56 PM,56 F,8 mph,0.0 in
2018-09-04,6:56 PM,58 F,6 mph,0.0 in
2018-09-04,7:56 PM,58 F,0 mph,0.0 in
2018-09-04,8:56 PM,58 F,3 mph,0.0 in
2018-09-04,9:56 PM,58 F,3 mph,0.0 in
2018-09-04,10:56 PM,58 F,6 mph,0.0 in
2018-09-04,11:56 PM,58 F,0 mph,0.0 in
2018-09-04,12:56 AM,58 F,3 mph,0.0 in
2018-09-04,1:56 AM,60 F,6 mph,0.0 in
2018-09-04,2:56 AM,61 F,3 mph,0.0 in
2018-09-04,3:56 AM,65 F,8 mph,0.0 in
2018-09-04,4:56 AM,65 F,7 mph,0.0 in
2018-09-04,5:56 AM,67 F,9 mph,0.0 in
2018-09-04,6:56 AM,68 F,13 mph,0.0 in
2018-09-04,7:56 AM,67 F,21 mph,0.0 in
2018-09-04,8:56 AM,67 F,20 mph,0.0 in
2018-09-04,9:56 AM,66 F,20 mph,0.0 in
2018-09-04,10:56 AM,65 F,21 mph,0.0 in
2018-09-04,11:56 AM,61 F,17 mph,0.0 in
2018-09-04,12:56 PM,59 F,9 mph,0.0 in
2018-09-04,1:56 PM,58 F,8 mph,0.0 in
2018-09-04,2:56 PM,59 F,8 mph,0.0 in
2018-09-04,3:56 PM,59 F,7 mph,0.0 in
2018-09-04,4:56 PM,58 F,7 mph,0.0 in
2018-09-05,5:56 PM,57 F,3 mph,0.0 in
2018-09-05,6:56 PM,56 F,5 mph,0.0 in
2018-09-05,7:56 PM,58 F,6 mph,0.0 in
2018-09-05,8:56 PM,58 F,3 mph,0.0 in
2018-09-05,9:56 PM,57 F,5 mph,0.0 in
2018-09-05,10:56 PM,58 F,3 mph,0.0 in
2018-09-05,11:56 PM,58 F,5 mph,0.0 in
2018-09-05,12:56 AM,58 F,0 mph,0.0 in
2018-09-05,1:56 AM,61 F,0 mph,0.0 in
2018-09-05,2:56 AM,63 F,0 mph,0.0 in
2018-09-05,3:56 AM,65 F,5 mph,0.0 in
2018-09-05,4:56 AM,66 F,6 mph,0.0 in
2018-09-05,5:56 AM,67 F,8 mph,0.0 in
2018-09-05,6:56 AM,69 F,6 mph,0.0 in
2018-09-05,7:56 AM,68 F,18 mph,0.0 in
2018-09-05,8:56 AM,65 F,20 mph,0.0 in
2018-09-05,9:56 AM,63 F,23 mph,0.0 in
2018-09-05,10:56 AM,61 F,17 mph,0.0 in
2018-09-05,11:56 AM,58 F,17 mph,0.0 in
2018-09-05,12:56 PM,59 F,13 mph,0.0 in
2018-09-05,1:56 PM,58 F,16 mph,0.0 in
2018-09-05,2:56 PM,58 F,15 mph,0.0 in
2018-09-05,3:56 PM,56 F,13 mph,0.0 in
2018-09-05,4:56 PM,56 F,10 mph,0.0 in
2018-09-06,5:56 PM,56 F,8 mph,0.0 in
2018-09-06,6:56 PM,55 F,7 mph,0.0 in
2018-09-06,7:56 PM,55 F,7 mph,0.0 in
2018-09-06,8:56 PM,53 F,8 mph,0.0 in
2018-09-06,9:56 PM,53 F,7 mph,0.0 in
2018-09-06,10:56 PM,53 F,9 mph,0.0 in
2018-09-06,11:56 PM,53 F,7 mph,0.0 in
2018-09-06,12:56 AM,56 F,6 mph,0.0 in
2018-09-06,1:56 AM,57 F,3 mph,0.0 in
2018-09-06,2:56 AM,61 F,7 mph,0.0 in
2018-09-06,3:56 AM,64 F,5 mph,0.0 in
2018-09-06,4:56 AM,65 F,7 mph,0.0 in
2018-09-06,5:56 AM,69 F,13 mph,0.0 in
2018-09-06,6:56 AM,72 F,13 mph,0.0 in
2018-09-06,7:56 AM,67 F,22 mph,0.0 in
2018-09-06,8:56 AM,65 F,24 mph,0.0 in
2018-09-06,9:56 AM,62 F,24 mph,0.0 in
2018-09-06,10:56 AM,62 F,21 mph,0.0 in
2018-09-06,11:56 AM,61 F,20 mph,0.0 in
2018-09-06,12:56 PM,59 F,14 mph,0.0 in
2018-09-06,1:56 PM,59 F,14 mph,0.0 in
2018-09-06,2:56 PM,59 F,18 mph,0.0 in
2018-09-06,3:56 PM,58 F,17 mph,0.0 in
2018-09-06,4:56 PM,59 F,14 mph,0.0 in
2018-09-07,5:56 PM,56 F,8 mph,0.0 in
2018-09-07,6:56 PM,55 F,7 mph,0.0 in
2018-09-07,7:56 PM,55 F,7 mph,0.0 in
2018-09-07,8:56 PM,53 F,8 mph,0.0 in
2018-09-07,9:56 PM,53 F,7 mph,0.0 in
2018-09-07,10:56 PM,53 F,9 mph,0.0 in
2018-09-07,11:56 PM,53 F,7 mph,0.0 in
2018-09-07,12:56 AM,56 F,6 mph,0.0 in
2018-09-07,1:56 AM,57 F,3 mph,0.0 in
2018-09-07,2:56 AM,61 F,7 mph,0.0 in
2018-09-07,3:56 AM,64 F,5 mph,0.0 in
2018-09-07,4:56 AM,65 F,7 mph,0.0 in
2018-09-07,5:56 AM,69 F,13 mph,0.0 in
2018-09-07,6:56 AM,72 F,13 mph,0.0 in
2018-09-07,7:56 AM,67 F,22 mph,0.0 in
2018-09-07,8:56 AM,65 F,24 mph,0.0 in
2018-09-07,9:56 AM,62 F,24 mph,0.0 in
2018-09-07,10:56 AM,62 F,21 mph,0.0 in
2018-09-07,11:56 AM,61 F,20 mph,0.0 in
2018-09-07,12:56 PM,59 F,14 mph,0.0 in
2018-09-07,1:56 PM,59 F,14 mph,0.0 in
2018-09-07,2:56 PM,59 F,18 mph,0.0 in
2018-09-07,3:56 PM,58 F,17 mph,0.0 in
2018-09-07,4:56 PM,59 F,14 mph,0.0 in
2018-09-08,5:56 PM,59 F,14 mph,0.0 in
2018-09-08,6:56 PM,58 F,12 mph,0.0 in
2018-09-08,7:56 PM,56 F,10 mph,0.0 in
2018-09-08,8:56 PM,56 F,10 mph,0.0 in
2018-09-08,9:56 PM,56 F,10 mph,0.0 in
2018-09-08,10:56 PM,55 F,13 mph,0.0 in
2018-09-08,11:56 PM,55 F,13 mph,0.0 in
2018-09-08,12:56 AM,59 F,10 mph,0.0 in
2018-09-08,1:56 AM,61 F,9 mph,0.0 in
2018-09-08,2:56 AM,64 F,14 mph,0.0 in
2018-09-08,3:56 AM,65 F,14 mph,0.0 in
2018-09-08,4:56 AM,67 F,20 mph,0.0 in
2018-09-08,5:56 AM,67 F,17 mph,0.0 in
2018-09-08,6:56 AM,69 F,18 mph,0.0 in
2018-09-08,7:56 AM,72 F,18 mph,0.0 in
2018-09-08,8:56 AM,73 F,17 mph,0.0 in
2018-09-08,9:56 AM,70 F,25 mph,0.0 in
2018-09-08,10:56 AM,70 F,24 mph,0.0 in
2018-09-08,11:56 AM,64 F,24 mph,0.0 in
2018-09-08,12:56 PM,61 F,15 mph,0.0 in
2018-09-08,1:56 PM,61 F,14 mph,0.0 in
2018-09-08,2:56 PM,59 F,14 mph,0.0 in
2018-09-08,3:56 PM,59 F,12 mph,0.0 in
2018-09-08,4:56 PM,58 F,9 mph,0.0 in
2018-09-09,5:56 PM,56 F,10 mph,0.0 in
2018-09-09,6:56 PM,56 F,8 mph,0.0 in
2018-09-09,7:56 PM,56 F,9 mph,0.0 in
2018-09-09,8:56 PM,55 F,8 mph,0.0 in
2018-09-09,9:56 PM,55 F,6 mph,0.0 in
2018-09-09,10:56 PM,53 F,5 mph,0.0 in
2018-09-09,11:56 PM,54 F,5 mph,0.0 in
2018-09-09,12:56 AM,56 F,6 mph,0.0 in
2018-09-09,1:56 AM,59 F,0 mph,0.0 in
2018-09-09,2:56 AM,61 F,3 mph,0.0 in
2018-09-09,3:56 AM,65 F,5 mph,0.0 in
2018-09-09,4:56 AM,67 F,6 mph,0.0 in
2018-09-09,5:56 AM,69 F,16 mph,0.0 in
2018-09-09,6:56 AM,73 F,17 mph,0.0 in
2018-09-09,7:56 AM,70 F,22 mph,0.0 in
2018-09-09,8:56 AM,70 F,28 mph,0.0 in
2018-09-09,9:56 AM,67 F,25 mph,0.0 in
2018-09-09,10:56 AM,65 F,22 mph,0.0 in
2018-09-09,11:56 AM,63 F,21 mph,0.0 in
2018-09-09,12:56 PM,61 F,26 mph,0.0 in
2018-09-09,1:56 PM,58 F,24 mph,0.0 in
2018-09-09,2:56 PM,58 F,20 mph,0.0 in
2018-09-09,3:56 PM,56 F,18 mph,0.0 in
2018-09-09,4:56 PM,56 F,18 mph,0.0 in
2018-09-10,5:56 PM,55 F,16 mph,0.0 in
2018-09-10,6:56 PM,56 F,13 mph,0.0 in
2018-09-10,7:56 PM,55 F,8 mph,0.0 in
2018-09-10,8:56 PM,55 F,0 mph,0.0 in
2018-09-10,9:56 PM,55 F,0 mph,0.0 in
2018-09-10,10:56 PM,55 F,0 mph,0.0 in
2018-09-10,11:56 PM,55 F,0 mph,0.0 in
2018-09-10,12:56 AM,58 F,3 mph,0.0 in
2018-09-10,1:56 AM,59 F,0 mph,0.0 in
2018-09-10,2:56 AM,61 F,5 mph,0.0 in
2018-09-10,3:56 AM,65 F,5 mph,0.0 in
2018-09-10,4:56 AM,67 F,6 mph,0.0 in
2018-09-10,5:56 AM,71 F,8 mph,0.0 in
2018-09-10,6:56 AM,73 F,18 mph,0.0 in
2018-09-10,7:56 AM,70 F,24 mph,0.0 in
2018-09-10,8:56 AM,70 F,26 mph,0.0 in
