a,month,cluster,inter_vol,inter_time,intra_vol,intra_time,intra_inter_vol,intra_inter_time
0,08,2,28.57130801687737,23.513462856768072,79.0337552742611,51.48013097393574,2.7661931063000345,2.189389597250147
1,08,3,39.08860759493678,31.72658055735818,68.5164556962024,43.267013273345654,1.7528497409326358,1.363746502561902
2,08,4,51.919831223628755,39.85418617748204,55.685232067510505,35.13940765322177,1.072523364485979,0.8816992899249273
3,08,5,58.075105485232115,43.91041516492511,49.52995780590712,31.083178665778696,0.8528604019238857,0.7078771300392397
4,08,6,58.255696202531695,44.5212324970249,49.34936708860755,30.472361333678933,0.8471165964104109,0.6844455920153429
5,08,7,66.98818565400849,48.992973268527464,40.61687763713082,26.00062056217633,0.6063289704085358,0.5307010133814196
6,08,8,75.49620253164562,53.876091896176916,32.10886075949369,21.11750193452691,0.4253043157506454,0.3919642496568208
7,08,9,69.9696202531646,50.71615397762064,37.63544303797472,24.277439853083155,0.5378826253708663,0.4786924470612654
8,08,10,82.46244725738399,57.99160033777752,25.14261603375528,17.00199349292629,0.3048977670439428,0.2931802777280948
9,08,11,78.69789029535866,57.18211481787697,28.90717299578059,17.811479012826837,0.36731827101450826,0.3114868883313563
10,08,12,84.61518987341779,59.80969931113811,22.989873417721522,15.183894519565678,0.27169912934206963,0.25387010291720435
11,08,13,84.49282700421942,59.79874487515915,23.112236286919845,15.194848955544664,0.27354080939634867,0.25409979736642796
12,08,14,88.32995780590717,60.79209716591019,19.275105485232064,14.201496664793625,0.2182170801845783,0.2336076122861125
13,08,15,88.69957805907177,61.315130176160224,18.90548523206752,13.678463654543632,0.21314064447383194,0.22308463857525854
14,09,2,35.03510758776912,36.5922248959228,108.09626274065673,81.55212003342871,3.08536979570725,2.2286734481268304
15,09,3,47.90486976217433,48.08566905102159,95.22650056625126,70.05867587832998,1.9878250591016549,1.4569554143874717
16,09,4,58.450736126840255,55.1458176191483,84.68063420158558,62.99852731020333,1.4487522281639957,1.1423990073968606
17,09,5,74.07134767836916,67.81166440123869,69.06002265005667,50.33268052811297,0.9323446219707983,0.74224222296472
18,09,6,100.07587768969425,85.01625678901274,43.05549263873159,33.1280881403389,0.43022847895707655,0.38966768699960314
19,09,7,102.03510758776899,86.39732181810781,41.09626274065684,31.747023111243827,0.4027659078548673,0.36745378726068384
20,09,8,94.19139297848243,81.27485879047477,48.93997734994337,36.86948613887689,0.5195801421168437,0.45363949796487263
21,09,9,97.30464326160816,83.90465618171001,45.826727066817654,34.239688747641694,0.47096135940409667,0.4080785299148326
22,09,10,97.95809739524348,83.8527872520714,45.173272933182325,34.29155767728027,0.4611489415817889,0.40894952691549524
23,09,11,106.50169875424689,89.49367877717299,36.62967157417893,28.650666152178605,0.343935092140662,0.3201417859189233
24,09,12,110.54813137032846,91.18714600667415,32.583238958097404,26.95719892267749,0.2947425574200422,0.2956249877664166
25,09,13,108.34994337485844,90.69572716361303,34.78142695356737,27.448617765738593,0.3210101073448098,0.3026451038451008
26,09,14,108.41789354473387,90.01544918493069,34.71347678369195,28.128895744420944,0.32018217333625804,0.3124896448234349
27,09,15,116.19139297848257,94.64918764530577,26.939977349943376,23.495157284045906,0.23185863134399617,0.24823411450812566
28,10,2,33.77074688796753,37.01402049893635,110.15767634854919,83.74793770229837,3.261925971432933,2.2626004031284577
29,10,3,51.365145228216164,52.99552867682821,92.56327800829932,67.76642952440663,1.802063979319813,1.2787197564846045
30,10,4,69.98236514522837,65.92778783776653,73.94605809128666,54.834170363468374,1.0566384536709037,0.8317307794158503
31,10,5,77.49896265560187,70.92522693576645,66.42946058091312,49.83673126546842,0.8571658033168703,0.7026657991606167
32,10,6,89.99481327800846,79.41431917316653,53.93360995850644,41.34763902806833,0.5992968704973789,0.5206572247746395
33,10,7,90.55912863070539,80.15080899890413,53.36929460580936,40.61114920233079,0.5893309201709095,0.506684208301454
34,10,8,100.35373443983407,87.24977877791643,43.574688796680505,33.51217942331844,0.4342109343504821,0.3840947208430129
35,10,9,105.57883817427378,90.66727221938974,38.34958506224068,30.09468598184511,0.36323173966869104,0.33192446673618115
36,10,10,90.12655601659749,80.42816288977572,53.80186721991716,40.333795311459184,0.5969590939435114,0.5014884570562104
37,10,11,108.6701244813277,92.5497608066743,35.25829875518671,28.212197394560548,0.32445254777678095,0.3048327423934952
38,10,12,111.40456431535264,95.03470793801478,32.52385892116181,25.727250263220075,0.291943684004693,0.27071425610104843
39,10,13,106.48755186721988,91.43045324644623,37.44087136929463,29.331504954788635,0.3515985738500208,0.3208067324759621
40,10,14,117.34854771784227,98.95140830076038,26.57987551867219,21.810549900474467,0.22650365970085926,0.2204167709688561
41,10,15,120.41078838174275,99.38811143732813,23.517634854771778,21.3738467639067,0.19531169233950163,0.21505436067556788
42,01,2,50.939024390243915,52.84451143189381,152.48018292682872,110.45806528066805,2.9933864017237135,2.0902466933207773
43,01,3,79.016768292683,76.23226112267345,124.4024390243902,87.07031558988862,1.5743802450081972,1.142171494162747
44,01,4,98.67682926829272,90.65161572246457,104.7423780487806,72.65096099009749,1.0614688253105118,0.8014304037616143
45,01,5,97.35975609756095,91.08977388032612,106.05945121951218,72.21280283223592,1.0893561721049667,0.7927652002639639
46,01,6,117.8551829268292,102.9292311338572,85.56402439024397,60.373345578704885,0.7260098560397356,0.5865519922148323
47,01,7,139.66920731707305,117.40008295251701,63.75,45.902493760045004,0.45643561114567344,0.3909920044827436
48,01,8,138.19359756097558,118.12370738499592,65.2256097560976,45.17886932756616,0.47198720423583956,0.38247080393706623
49,01,9,138.858231707317,114.5195330958323,64.5609756097561,48.78304361672971,0.4649416517548388,0.42598011271934766
50,01,10,150.94207317073167,124.48696830769448,52.47713414634147,38.81560840486753,0.3476640610798038,0.3118045923403563
51,01,11,148.36432926829264,123.05407170948844,55.054878048780495,40.24850500307368,0.3710789400680183,0.3270798311988745
52,01,12,149.34603658536577,125.04602679662557,54.07317073170732,38.256549915936496,0.36206632574945674,0.30593974791503625
53,01,13,156.4710365853658,126.69605160831593,46.94817073170733,36.60652510424612,0.30004384042086824,0.2889318541466164
54,01,14,158.24999999999997,130.1400401430931,45.169207317073166,33.16253656946902,0.28542943012368516,0.25482193284254223
55,01,15,158.6615853658537,129.16871356940229,44.757621951219505,34.13386314315973,0.2820948867239291,0.26425797857636496
56,02,2,70.87598425196829,56.06742952849791,173.02362204724278,98.57075875317847,2.4412164977086404,1.758075224459452
57,02,3,105.49015748031533,77.54129196107368,138.40944881889732,77.09689632060253,1.3120603108846889,0.9942689162221562
58,02,4,110.68503937007921,82.87873141417195,133.21456692913344,71.75945686750433,1.2035462758767785,0.8658368153452904
59,02,5,123.56496062992167,89.84248914449337,120.33464566929105,64.79569913718288,0.9738573545108354,0.7212144248694198
60,02,6,138.17716535433098,97.00212930553637,105.72244094488195,57.63605897613991,0.7651223751317766,0.5941731319587676
61,02,7,144.08267716535462,100.42529724406158,99.81692913385828,54.21289103761467,0.6927753641008813,0.5398330154389502
62,02,8,159.4291338582678,108.35564569936523,84.47047244094495,46.282542582311116,0.5298308433139896,0.42713549703467135
63,02,9,153.66535433070888,106.62994463197663,90.23425196850407,48.0082436496996,0.5872127283441367,0.4502322852684169
64,02,10,175.38385826771662,116.07974180840505,68.51574803149614,38.5584464732712,0.39066165329143077,0.3321720558003453
65,02,11,190.6437007874016,123.69203797793492,53.25590551181108,30.9461503037414,0.2793478373103971,0.2501870840648757
66,02,12,185.99606299212607,120.11052782763717,57.903543307086665,34.52766045403907,0.31131596215312335,0.28746572909568324
67,02,13,190.39173228346468,123.83440811841425,53.507874015748044,30.80378016326196,0.2810409536905881,0.24874976697757897
68,02,14,182.757874015748,119.68539320719617,61.14173228346462,34.95279507448007,0.33455046800443805,0.29203893756668137
69,02,15,191.55511811023618,124.2582174323402,52.34448818897638,30.379970849336043,0.2732607131846676,0.24449063794012843
70,03,2,61.050492610836265,52.94764899829729,159.1354679802933,110.30118127538495,2.6066205394065447,2.083212066298393
71,03,3,85.01724137930998,74.91362421992692,135.1687192118222,88.3352060537553,1.5898977315525697,1.179160759789516
72,03,4,99.03078817734013,85.88468716336511,121.15517241379278,77.36414311031707,1.2234091502617677,0.900790882118011
73,03,5,109.24137931034512,92.66238397275643,110.9445812807879,70.5864463009257,1.0155911796536743,0.7617594462244652
74,03,6,117.05049261083767,97.98450176506542,103.13546798029549,65.26432850861677,0.8811194697248648,0.6660678712751854
75,03,7,125.52339901477873,102.3819429823576,94.66256157635468,60.866887291324666,0.7541427520235443,0.594508030598845
76,03,8,139.29064039408888,109.91119482765325,80.89532019704438,53.33763544602907,0.5807663743103687,0.48527937058336407
77,03,9,131.24876847290662,105.51629542718265,88.9371921182266,57.7325348464996,0.6776230600334029,0.5471433072282292
78,03,10,129.32142857142884,105.79830627308542,90.86453201970438,57.45052400059687,0.7026254892437773,0.5430193168906335
79,03,11,150.55788177339912,115.09272061273421,69.62807881773402,48.15610966094802,0.4624671787195405,0.41841142866875525
80,03,12,153.15270935960604,118.23696948388962,67.0332512315271,45.011860789792685,0.4376889675136697,0.38069193574794535
81,03,13,139.9014778325125,110.53002655263417,80.28448275862065,52.71880372104815,0.5738644366197172,0.4769636393414197
82,03,14,176.3559113300494,130.5394170684993,43.83004926108377,32.709413205182976,0.2485317839959218,0.2505711603416999
83,03,15,177.11453201970457,131.2647874051801,43.07142857142856,31.984042868502137,0.24318404639228997,0.24366049342521504
