station_id,station_name,station_latitude,station_longitude,cluster
109,17th St at Valencia St,37.7633158,-122.4219039,0
118,Eureka Valley Recreation Center,37.7591769,-122.4369431,2
119,18th St at Noe St,37.7610471,-122.43264170000002,0
120,Mission Dolores Park,37.7614205,-122.4264353,0
121,Mission Playground,37.75921029999999,-122.4213392,0
13,Commercial St at Montgomery St,37.794230999999996,-122.402923,3
138,Jersey St at Church St,37.7509004,-122.42741140000001,7
15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,4
16,Steuart St at Market St,37.794129999999996,-122.39443,4
20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,6
21,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,4
23,The Embarcadero at Steuart St,37.791464000000005,-122.391034,8
24,Spear St at Folsom St,37.78967670000001,-122.39042849999998,4
27,Beale St at Harrison St,37.7880593,-122.39186480000001,4
28,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330359,6
324,Union Square (Powell St at Post St),37.78829997815083,-122.40853071212769,3
336,Potrero Ave and Mariposa St,37.76328094058097,-122.4073773622513,5
43,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.41592920000001,3
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382,3
6,The Embarcadero at Sansome St,37.80477,-122.40323400000001,4
62,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357352,7
66,3rd St at Townsend St,37.77874161153677,-122.39274082710837,4
71,Broderick St at Oak St,37.773062700000004,-122.4390777,9
73,Pierce St at Haight St,37.7717933,-122.43370790000002,0
92,Mission Bay Kids Park,37.772300631747626,-122.39302754402159,9
95,Sanchez St at 15th St,37.7662185,-122.4310597,0
98,Valencia St at 16th St,37.765052000000004,-122.42186609999999,0
107,17th St at Dolores St,37.7630152,-122.42649679999998,2
114,Rhode Island St at 17th St,37.7644783,-122.40257009999999,5
127,Valencia St at 21st St,37.7567083,-122.421025,0
129,Harrison St at 20th St,37.758862,-122.412544,2
14,Clay St at Battery St,37.795001,-122.39997,2
140,Cesar Chavez St at Dolores St,37.7478584,-122.42498629999999,6
19,Post St at Kearny St,37.788975,-122.403452,3
223,16th St Mission BART Station 2,37.764765215497704,-122.42009103298186,0
25,Howard St at 2nd St,37.78752178045625,-122.39740490913393,4
26,1st St at Folsom St,37.787290000000006,-122.39438,4
284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208436062,-122.40087568759917,4
285,Webster St at O'Farrell St,37.78352083526095,-122.43115782737732,3
3,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553955,4
321,5th St at Folsom,37.78014570345598,-122.40307085237872,4
323,Broadway at Kearny,37.79801364395978,-122.40595042705534,4
34,Father Alfred E Boeddeker Park,37.78398789999999,-122.41240800000001,7
343,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,4
36,Folsom St at 3rd St,37.78383,-122.39887,4
369,Hyde St at Post St,37.78734902316596,-122.41665109992027,3
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823000000001,3
5,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.40844488143921,3
58,Market St at 10th St,37.776619000000004,-122.41738500000001,0
74,Laguna St at Hayes St,37.77643481920474,-122.42624402046205,3
81,Berry St at 4th St,37.77588,-122.39317,4
88,11th St at Bryant St,37.770029799999996,-122.41172579999999,0
100,Bryant St at 15th St,37.7671004,-122.41066200000002,5
122,19th St at Mission St,37.760298999999996,-122.418892,0
141,Valencia St at Cesar Chavez St,37.747998100000004,-122.42021869999999,0
364,China Basin St at 3rd St,37.7719996,-122.38996979999999,4
368,Myrtle St at Polk St,37.785433827868225,-122.41962164640428,3
381,20th St at Dolores St,37.75823842417928,-122.4260938167572,7
4,Cyril Magnin St at Ellis St,37.78588062694133,-122.4089150084319,3
47,4th St at Harrison St,37.78095459960753,-122.39974915981293,4
56,Koshland Park,37.77341396997343,-122.427316904068,9
59,S Van Ness Ave at Market St,37.774814,-122.418954,0
78,Folsom St at 9th St,37.7737172,-122.41164669999999,2
86,Market St at Dolores St,37.76930529999999,-122.4268256,0
105,16th St at Prosper St,37.764285,-122.43180420000002,2
134,Valencia St at 24th St,37.7524278,-122.42062779999999,0
345,Hubbell St at 16th St,37.76647421515012,-122.39829540252686,1
85,Church St at Duboce Ave,37.7700831,-122.42915570000001,9
99,Folsom St at 15th St,37.7670373,-122.41544250000001,2
10,Washington St at Kearny St,37.795392937254526,-122.4047702550888,4
373,Potrero del Sol Park (25th St at Utah St),37.75179164525661,-122.40521550178528,8
87,Folsom St at 13th St,37.769757,-122.415674,1
53,Grove St at Divisadero,37.775946000000005,-122.4377775,1
64,5th St at Brannan St,37.776753899999996,-122.3990176,7
76,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,0
104,4th St at 16th St,37.76704457969368,-122.39083349704742,5
11,Davis St at Jackson St,37.79728,-122.398436,8
126,Esprit Park,37.7616343,-122.3906477,4
133,Valencia St at 22nd St,37.7552126,-122.42097520000002,0
136,23rd St at San Bruno Ave,37.7544356,-122.40436389999999,6
30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.39528200000001,4
49,S Park St at 3rd St,37.7807601,-122.39498940000001,4
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.776639200000005,-122.3955263,4
93,4th St at Mission Bay Blvd S,37.770407399999996,-122.39119840000002,4
