a,month,cluster,inter_vol,inter_time,intra_vol,intra_time,intra_inter_vol,intra_inter_time
0,08,2,33.16624472573801,24.53872680065508,74.43881856540007,50.45486703004873,2.244415042491479,2.0561322288612707
1,08,3,41.04472573839644,30.814785524504327,66.5603375527421,44.17880830619958,1.6216538508984693,1.4336886515425527
2,08,4,46.28270042194092,34.58106377222341,61.32236286919796,40.41253005848044,1.3249521378430047,1.1686317784978335
3,08,5,72.8751054852321,51.10658849096811,34.72995780590723,23.887005339735715,0.47656819945111634,0.4673958103064771
4,08,6,63.99746835443036,44.827112891233256,43.607594936708814,30.166480939470578,0.681395624826931,0.6729516802178481
5,08,7,74.62700421940932,50.81531085813532,32.97805907173001,24.17828297256849,0.44190517114651817,0.47580704642482075
6,08,8,83.10464135021101,57.577049668308256,24.50042194092829,17.416544162395567,0.2948141228079084,0.30249108390807383
7,08,9,82.0725738396625,56.04524554144364,25.532489451476827,18.948348289260167,0.3110964876203013,0.3380902002695033
8,08,10,84.40168776371313,58.59456289151701,23.203375527426168,16.3990309391868,0.2749160134378499,0.279872911920996
9,08,11,86.67426160337554,58.91858842285762,20.930801687763726,16.075005407846202,0.24148808770409613,0.27283419101075856
10,08,12,93.73333333333336,63.62405977577778,13.871729957805913,11.369534054926056,0.14799142913733188,0.17869865731602583
11,08,13,90.96455696202536,62.21457766140134,16.640506329113926,12.77901616930248,0.18293395675043828,0.205402281099639
12,08,14,90.12320675105487,61.21428629989168,17.48185654008439,13.77930753081211,0.19397730252069365,0.22509953743978375
13,08,15,80.22109704641346,53.98909601623047,27.383966244725745,21.00449781447335,0.3413561675538072,0.3890507410636932
14,09,2,45.490373725934454,39.73883072889903,97.6409966024912,78.40551420045254,2.1464100776737567,1.973020160943844
15,09,3,57.73725934314851,51.394413279997224,85.39411098527748,66.74993164935432,1.479012200384446,1.2987779680585143
16,09,4,73.31370328425824,63.51765094828039,69.81766704416764,54.62669398107131,0.9523140138408305,0.8600238385004415
17,09,5,73.30804077010194,62.37500460518534,69.82332955832393,55.76934032416633,0.9524648159305437,0.8940975744558122
18,09,6,83.27066817667043,70.35331757552018,59.860702151755454,47.791027353831446,0.7188690022848448,0.679300266153484
19,09,7,107.47565118912794,88.62481312642646,35.65571913929783,29.519531802925236,0.3317562512513039,0.3330842769825034
20,09,8,103.7417893544734,86.18702287856082,39.38958097395243,31.957322050790836,0.37968865988384776,0.3707904158125907
21,09,9,111.33635334088336,90.50609047880353,31.795016987542514,27.63825445054809,0.28557623842945823,0.30537452567372747
22,09,10,111.86636466591168,90.52182566998177,31.265005662514156,27.62251925936987,0.2794853104942396,0.30514761556040804
23,09,11,106.06115515288789,86.29308465978832,37.07021517553796,31.85126026956332,0.3495173621492335,0.3691055939782122
24,09,12,116.58663646659119,95.395836524646,26.544733861834658,22.748508404705635,0.22768247430691818,0.2384643736399171
25,09,13,126.73499433748584,102.54008450272727,16.396375990939983,15.604260426624377,0.12937528483472888,0.1521771754167937
26,09,14,116.3204983012457,94.63601293717761,26.81087202718006,23.508331992174114,0.23049137872282427,0.2484078868345784
27,09,15,120.41902604756514,99.12211206403444,22.71234428086071,19.02223286531724,0.18861092824226466,0.19190705755975598
28,10,2,45.464730290457524,40.97787095476133,98.46369294605996,79.7840872464736,2.1657159806516275,1.9470042095294187
29,10,3,59.023858921162564,55.01265214512169,84.90456431535368,65.74930605611328,1.4384787078859018,1.1951669932703595
30,10,4,74.2883817427392,65.97671161430586,69.6400414937765,54.78524658692906,0.937428435780713,0.8303724942703854
31,10,5,69.96991701244852,63.34427625705909,73.95850622406698,57.41768194417591,1.0570043438940886,0.9064383609210039
32,10,6,76.07572614107899,67.32171062784094,67.85269709543608,53.440247573394,0.8919099499570511,0.793804065211821
33,10,7,74.14315352697123,66.56998529092901,69.785269709544,54.19197291030594,0.9412233819290954,0.8140601604983421
34,10,8,111.65352697095429,93.50252867096798,32.274896265560145,27.25942953026687,0.28906293550365125,0.2915368163591791
35,10,9,108.94087136929448,90.57700481902762,34.98755186721992,30.184953382207283,0.3211609327835919,0.33325183850489054
36,10,10,110.94813278008289,92.13702974435904,32.98029045643158,28.62492845687584,0.2972586345531731,0.3106777865131729
37,10,11,115.20228215767625,95.37714409615386,28.726141078838143,25.38481410508096,0.24935392373148435,0.2661519627751636
38,10,12,123.08402489626552,101.7154312414416,20.84439834024895,19.046526959793244,0.16935096457738105,0.187253071901967
39,10,13,114.37759336099583,94.54165812055963,29.55082987551866,26.22030008067523,0.2583620533284962,0.277341233504061
40,10,14,121.21680497925306,100.11124296533308,22.71161825726142,20.650715235901853,0.1873636106903547,0.20627768294768717
41,10,15,126.31224066390033,104.83963401174765,17.6161825726141,15.922324189487199,0.13946536361023287,0.1518731378602776
42,01,2,45.832317073170714,47.7505084544909,157.58689024390134,115.55206825807112,3.438335661544579,2.419912834398385
43,01,3,62.09756097560982,65.96669308309319,141.3216463414629,97.33588362946881,2.2758002749410733,1.4755307425652253
44,01,4,88.68750000000007,84.39060562743946,114.73170731707306,78.91197108512252,1.2936626617851779,0.9350800423627299
45,01,5,76.10365853658537,77.11317537791535,127.31554878048759,86.18940133464669,1.6729228427209328,1.1177000676246396
46,01,6,95.79115853658537,87.54085189272458,107.6280487804879,75.76172481983741,1.1235697576345909,0.8654442261160344
47,01,7,92.30335365853662,85.4726812179207,111.11585365853645,77.82989549464138,1.203811662895739,0.9105821226808913
48,01,8,123.76676829268291,106.93182191872128,79.65243902439028,56.37075479384073,0.6435688684706437,0.5271653824124315
49,01,9,147.1539634146341,121.59706111082305,56.26524390243904,41.705515601739016,0.3823562926667567,0.34298127948774015
50,01,10,160.1128048780487,129.8826162631372,43.30640243902439,33.419960449424885,0.27047432260030096,0.2573089564327633
51,01,11,160.7484756097561,130.06936311723703,42.67073170731708,33.233213595325026,0.26545030393263225,0.2555037773604728
52,01,12,162.35060975609753,130.75561151558685,41.0685975609756,32.54696519697518,0.25296238568289797,0.24891448114328452
53,01,13,172.7454268292682,139.35169052785932,30.673780487804873,23.950886184702654,0.17756638222394797,0.17187366794028502
54,01,14,166.1798780487805,134.3747335520711,37.23932926829267,28.927843160490887,0.22409048379107263,0.21527739922387387
55,01,15,167.73018292682917,134.42801721264723,35.68902439024389,28.87455949991481,0.21277639937835705,0.21479569585735314
56,02,2,65.84055118110234,39.56358203601732,178.05905511810752,115.07460624565884,2.7043980028103762,2.908599280542871
57,02,3,72.78346456692937,46.59187094675822,171.11614173228224,108.04631733491799,2.3510304538323985,2.3189950336698306
58,02,4,122.5688976377957,77.89030200878169,121.33070866141746,76.74788627289458,0.9898980165421963,0.9853330169941014
59,02,5,215.10629921259834,138.76325952450063,28.79330708661428,15.874928757175578,0.13385617804784358,0.11440296813129151
60,02,6,197.94685039370071,125.74743183866515,45.95275590551192,28.890756443011053,0.2321469415356471,0.2297522583210932
