source,sink,added_flow
22,6,0
22,8,0
22,15,20.991
22,16,11.011
22,21,0
22,30,0
22,49,0
22,67,0
22,88,0
22,223,0
26,6,0
26,8,2.06966
26,15,18.3846
26,16,0
26,21,0
26,30,0
26,49,0
26,67,0
26,88,0
26,223,0
53,6,0
53,8,0
53,15,0
53,16,0
53,21,0
53,30,0
53,49,0
53,67,0
53,88,2.29525
53,223,0.063982
66,6,0
66,8,0
66,15,0
66,16,0
66,21,0
66,30,0
66,49,5.98774
66,67,25.6167
66,88,0
66,223,0
70,6,0
70,8,0
70,15,0
70,16,0
70,21,0
70,30,0
70,49,0
70,67,0
70,88,0
70,223,1.86458
73,6,0
73,8,0
73,15,0
73,16,0
73,21,0
73,30,0
73,49,0
73,67,0
73,88,0
73,223,0.323896
80,6,0
80,8,0
80,15,0
80,16,0
80,21,0
80,30,0
80,49,0
80,67,30.0593
80,88,0
80,223,0
81,6,0
81,8,0
81,15,0
81,16,0
81,21,0
81,30,9.52363
81,49,0
81,67,29.8605
81,88,0
81,223,0
85,6,0
85,8,0
85,15,0
85,16,0
85,21,0
85,30,0
85,49,0
85,67,0
85,88,0
85,223,0.793502
92,6,0
92,8,0
92,15,0
92,16,0
92,21,0
92,30,0
92,49,0
92,67,9.01426
92,88,0
92,223,0
132,6,0
132,8,0
132,15,0
132,16,0
132,21,0
132,30,0
132,49,0
132,67,0
132,88,0
132,223,4.0717
133,6,0
133,8,0
133,15,0
133,16,0
133,21,0
133,30,0
133,49,0
133,67,0
133,88,0
133,223,0.137044
285,6,5.30182
285,8,0
285,15,0
285,16,0
285,21,0
285,30,0
285,49,0
285,67,0
285,88,0
285,223,0
324,6,19.2295
324,8,2.90945
324,15,0
324,16,0
324,21,7.56038
324,30,0
324,49,0
324,67,0
324,88,0
324,223,0
349,6,0
349,8,0
349,15,0
349,16,0
349,21,14.0647
349,30,0
349,49,0
349,67,0
349,88,0
349,223,0
