source,sink,added_flow
3,52,0
3,62,5
3,72,0
3,86,0
3,139,0
3,145,0
3,324,0
3,345,0
3,369,0
3,375,0
6,52,1
6,62,0
6,72,0
6,86,0
6,139,0
6,145,0
6,324,0
6,345,0
6,369,1
6,375,2
8,52,0
8,62,0
8,72,0
8,86,0
8,139,0
8,145,0
8,324,4
8,345,0
8,369,0
8,375,0
20,52,0
20,62,0
20,72,0
20,86,0
20,139,0
20,145,0
20,324,1
20,345,0
20,369,0
20,375,0
21,52,0
21,62,0
21,72,0
21,86,0
21,139,0
21,145,0
21,324,2
21,345,0
21,369,0
21,375,0
66,52,0
66,62,0
66,72,0
66,86,0
66,139,0
66,145,0
66,324,0
66,345,1
66,369,0
66,375,0
88,52,0
88,62,0
88,72,1
88,86,2
88,139,0
88,145,1
88,324,0
88,345,0
88,369,0
88,375,0
104,52,0
104,62,0
104,72,0
104,86,0
104,139,0
104,145,0
104,324,0
104,345,1
104,369,0
104,375,0
350,52,0
350,62,0
350,72,0
350,86,0
350,139,1
350,145,0
350,324,0
350,345,0
350,369,0
350,375,0
