source,sink,added_flow
3,21,0
3,52,0
3,71,0
3,72,0
3,86,0
3,139,0
3,321,5
3,345,0
3,369,0
3,370,0
3,375,0
6,21,0
6,52,1
6,71,0
6,72,0
6,86,0
6,139,0
6,321,0
6,345,0
6,369,1
6,370,1
6,375,1
8,21,5
8,52,0
8,71,0
8,72,0
8,86,0
8,139,0
8,321,0
8,345,0
8,369,0
8,370,0
8,375,0
15,21,1
15,52,0
15,71,0
15,72,0
15,86,0
15,139,0
15,321,0
15,345,0
15,369,0
15,370,0
15,375,0
20,21,1
20,52,0
20,71,0
20,72,0
20,86,0
20,139,0
20,321,0
20,345,0
20,369,0
20,370,0
20,375,0
88,21,0
88,52,0
88,71,1
88,72,1
88,86,1
88,139,0
88,321,0
88,345,0
88,369,0
88,370,0
88,375,0
104,21,0
104,52,0
104,71,0
104,72,0
104,86,0
104,139,0
104,321,0
104,345,2
104,369,0
104,370,0
104,375,0
350,21,0
350,52,0
350,71,0
350,72,0
350,86,0
350,139,1
350,321,0
350,345,0
350,369,0
350,370,0
350,375,0
